Month,Prediction,Stat,Value
1,caraib_gswp3,min,2.639669361936056e-4
2,caraib_gswp3,min,6.36835054249995e-5
3,caraib_gswp3,min,1.9907604381801415e-5
4,caraib_gswp3,min,1.1503277026607024e-5
5,caraib_gswp3,min,2.6728132287890856e-5
6,caraib_gswp3,min,4.2471450249623654e-4
7,caraib_gswp3,min,0.012573348843731166
8,caraib_gswp3,min,0.02431336904177948
9,caraib_gswp3,min,0.017111687020959814
10,caraib_gswp3,min,0.006432270213576207
11,caraib_gswp3,min,0.003027925649025611
12,caraib_gswp3,min,9.978660622159891e-4
1,caraib_princeton,min,1.6219170994505783e-4
2,caraib_princeton,min,3.129724636739555e-5
3,caraib_princeton,min,1.174238562414688e-5
4,caraib_princeton,min,1.645591243368068e-5
5,caraib_princeton,min,1.8536871519794657e-4
6,caraib_princeton,min,2.457378284902645e-4
7,caraib_princeton,min,0.023622081533594616
8,caraib_princeton,min,0.12634901676748328
9,caraib_princeton,min,0.14973909331400534
10,caraib_princeton,min,0.04528867373533197
11,caraib_princeton,min,0.0043868226102600225
12,caraib_princeton,min,8.802054737958891e-4
1,caraib_wfdei,min,2.582851242217965e-4
2,caraib_wfdei,min,6.349411096628873e-5
3,caraib_wfdei,min,2.6893849715573492e-5
4,caraib_wfdei,min,2.0821426652964497e-5
5,caraib_wfdei,min,4.114569557550248e-5
6,caraib_wfdei,min,7.12829057859352e-4
7,caraib_wfdei,min,0.041974291277194826
8,caraib_wfdei,min,0.07753289050059368
9,caraib_wfdei,min,0.03877827922269717
10,caraib_wfdei,min,0.01628782583210301
11,caraib_wfdei,min,0.005767026578836482
12,caraib_wfdei,min,0.0010302996671645815
1,dbh_gswp3,min,0.036718936533239474
2,dbh_gswp3,min,0.010108947101089777
3,dbh_gswp3,min,0.005964435046608259
4,dbh_gswp3,min,0.009857862866622059
5,dbh_gswp3,min,0.01039188795416616
6,dbh_gswp3,min,0.02322742148255437
7,dbh_gswp3,min,0.019760273959537836
8,dbh_gswp3,min,0.011741629484419983
9,dbh_gswp3,min,0.008604991590410498
10,dbh_gswp3,min,0.007513121466869549
11,dbh_gswp3,min,0.008424881207973012
12,dbh_gswp3,min,0.006648406158823486
1,dbh_princeton,min,0.038927513340355525
2,dbh_princeton,min,0.01016919075035848
3,dbh_princeton,min,0.0077520217021784564
4,dbh_princeton,min,0.00990076903511453
5,dbh_princeton,min,0.021689634003053716
6,dbh_princeton,min,0.010658173948371796
7,dbh_princeton,min,0.03970115335927914
8,dbh_princeton,min,0.025612626533399022
9,dbh_princeton,min,0.04773965592619298
10,dbh_princeton,min,0.011713529726717103
11,dbh_princeton,min,0.009640816991255616
12,dbh_princeton,min,0.008182229689873994
1,dbh_wfdei,min,0.030100033725475088
2,dbh_wfdei,min,0.014016530086888343
3,dbh_wfdei,min,0.006445942872355259
4,dbh_wfdei,min,0.008960291759997402
5,dbh_wfdei,min,0.010439269165957318
6,dbh_wfdei,min,0.013784321498593693
7,dbh_wfdei,min,0.04753570328284005
8,dbh_wfdei,min,0.013880470083920762
9,dbh_wfdei,min,0.00808238281385571
10,dbh_wfdei,min,0.006965040225093878
11,dbh_wfdei,min,0.00702468492419219
12,dbh_wfdei,min,0.006330591623823793
1,dlem_gswp3,min,5.541499265747259e-4
2,dlem_gswp3,min,5.171847563272286e-4
3,dlem_gswp3,min,4.900334090258505e-4
4,dlem_gswp3,min,7.713827995533003e-4
5,dlem_gswp3,min,6.846728217352835e-4
6,dlem_gswp3,min,7.500869484425974e-4
7,dlem_gswp3,min,9.548781394656833e-4
8,dlem_gswp3,min,0.0010625023032610876
9,dlem_gswp3,min,8.731295469065956e-4
10,dlem_gswp3,min,7.831374581214036e-4
11,dlem_gswp3,min,7.216924657686502e-4
12,dlem_gswp3,min,6.091069602933458e-4
1,dlem_princeton,min,0.006574233257454773
2,dlem_princeton,min,0.004639451634136939
3,dlem_princeton,min,0.0026058786188758276
4,dlem_princeton,min,0.0020869927115844396
5,dlem_princeton,min,0.0020036411951918735
6,dlem_princeton,min,0.0015380330909063806
7,dlem_princeton,min,0.0018547994631078904
8,dlem_princeton,min,0.0025257329501502186
9,dlem_princeton,min,0.004713480201762614
10,dlem_princeton,min,0.008456511215632458
11,dlem_princeton,min,0.01038763882455223
12,dlem_princeton,min,0.008646570167372792
1,dlem_wfdei,min,6.48034755677175e-4
2,dlem_wfdei,min,5.957766147846981e-4
3,dlem_wfdei,min,5.56439743058504e-4
4,dlem_wfdei,min,8.37636519827462e-4
5,dlem_wfdei,min,7.442095320004883e-4
6,dlem_wfdei,min,8.021434055902712e-4
7,dlem_wfdei,min,0.0014151431062008738
8,dlem_wfdei,min,0.0011747062743401628
9,dlem_wfdei,min,0.0010151019166973019
10,dlem_wfdei,min,9.365591718051721e-4
11,dlem_wfdei,min,8.447351078116772e-4
12,dlem_wfdei,min,7.190209841515568e-4
1,h08_gswp3,min,7.818343580053499e-4
2,h08_gswp3,min,7.860479598161349e-5
3,h08_gswp3,min,2.5983227779330244e-5
4,h08_gswp3,min,3.4925142219347714e-4
5,h08_gswp3,min,4.260881134807197e-4
6,h08_gswp3,min,0.007355789319782873
7,h08_gswp3,min,0.21994034843294483
8,h08_gswp3,min,0.16282299871811526
9,h08_gswp3,min,0.04099344657348091
10,h08_gswp3,min,0.018503861974402822
11,h08_gswp3,min,0.005038815082586239
12,h08_gswp3,min,0.0016700432075792307
1,h08_princeton,min,6.51735704689143e-4
2,h08_princeton,min,4.5488757062095565e-5
3,h08_princeton,min,2.1928971325125682e-5
4,h08_princeton,min,4.2706694204425e-4
5,h08_princeton,min,0.0016946770379718968
6,h08_princeton,min,0.0017882940303639832
7,h08_princeton,min,0.025970250685428204
8,h08_princeton,min,0.04544466852918604
9,h08_princeton,min,0.044487508504619806
10,h08_princeton,min,0.018426738947107533
11,h08_princeton,min,0.004512509061236921
12,h08_princeton,min,0.001474071627541604
1,lpjml_gswp3,min,0.001743403621536945
2,lpjml_gswp3,min,0.0017825285248675644
3,lpjml_gswp3,min,0.0018510511436917302
4,lpjml_gswp3,min,0.002943308423323611
5,lpjml_gswp3,min,0.004309769309410649
6,lpjml_gswp3,min,0.04409470317704083
7,lpjml_gswp3,min,0.06924630960629544
8,lpjml_gswp3,min,0.043142075371458935
9,lpjml_gswp3,min,0.02581786772147242
10,lpjml_gswp3,min,0.009477984822115336
11,lpjml_gswp3,min,0.002684260208519841
12,lpjml_gswp3,min,0.00152647645544467
1,lpjml_princeton,min,0.0015019301317416246
2,lpjml_princeton,min,0.0018381768527183813
3,lpjml_princeton,min,0.0023474555016596665
4,lpjml_princeton,min,0.0031685781843532436
5,lpjml_princeton,min,0.019696900987376566
6,lpjml_princeton,min,0.014910312955706556
7,lpjml_princeton,min,0.04615559100453996
8,lpjml_princeton,min,0.09358379005307157
9,lpjml_princeton,min,0.061406870464347126
10,lpjml_princeton,min,0.011940453050411559
11,lpjml_princeton,min,0.0013144217733927846
12,lpjml_princeton,min,8.141558776921373e-4
1,lpjml_wfdei,min,0.001236725943344324
2,lpjml_wfdei,min,0.0016658205740147482
3,lpjml_wfdei,min,0.002111632991673353
4,lpjml_wfdei,min,0.0028326743431742636
5,lpjml_wfdei,min,0.004436636577749081
6,lpjml_wfdei,min,0.04723693382927699
7,lpjml_wfdei,min,0.08313007775110787
8,lpjml_wfdei,min,0.05645801644227763
9,lpjml_wfdei,min,0.030788919854862717
10,lpjml_wfdei,min,0.012295555894156528
11,lpjml_wfdei,min,0.008098933780322042
12,lpjml_wfdei,min,0.001821335301288706
1,matsiro_gswp3,min,1.3044635949141119e-4
2,matsiro_gswp3,min,1.268881535879353e-4
3,matsiro_gswp3,min,1.2309167934506664e-4
4,matsiro_gswp3,min,2.2431555461731575e-4
5,matsiro_gswp3,min,2.9125856438835476e-4
6,matsiro_gswp3,min,3.4502549841232833e-4
7,matsiro_gswp3,min,4.821973767180494e-4
8,matsiro_gswp3,min,3.634310576028576e-4
9,matsiro_gswp3,min,2.745066985997348e-4
10,matsiro_gswp3,min,2.1969271304280805e-4
11,matsiro_gswp3,min,2.3322868619835553e-4
12,matsiro_gswp3,min,1.464893470097552e-4
1,matsiro_princeton,min,0.0016841779783785692
2,matsiro_princeton,min,0.0011218324489302755
3,matsiro_princeton,min,7.225729800434435e-4
4,matsiro_princeton,min,0.0010964697157036481
5,matsiro_princeton,min,0.0015767246443756514
6,matsiro_princeton,min,0.0010205781446012397
7,matsiro_princeton,min,0.0017460872181240161
8,matsiro_princeton,min,0.0025170307410680654
9,matsiro_princeton,min,0.008877157615799968
10,matsiro_princeton,min,0.009205245645340462
11,matsiro_princeton,min,0.007350167973713379
12,matsiro_princeton,min,0.003055565909449924
1,matsiro_wfdei,min,7.687047592923882e-5
2,matsiro_wfdei,min,8.215706968980816e-5
3,matsiro_wfdei,min,8.815549419984751e-5
4,matsiro_wfdei,min,8.948812455522111e-5
5,matsiro_wfdei,min,0.001145805795564032
6,matsiro_wfdei,min,4.3127798358709934e-4
7,matsiro_wfdei,min,5.288654612836356e-4
8,matsiro_wfdei,min,0.0038124224242100852
9,matsiro_wfdei,min,0.0048144015623124165
10,matsiro_wfdei,min,0.004161254071409652
11,matsiro_wfdei,min,0.0035343655600376684
12,matsiro_wfdei,min,0.002578947476406448
1,pcr-globwb_gswp3,min,0.00627896407147654
2,pcr-globwb_gswp3,min,0.0063143976567605325
3,pcr-globwb_gswp3,min,0.0030067818015669973
4,pcr-globwb_gswp3,min,0.0021323330303037306
5,pcr-globwb_gswp3,min,0.002593025594468482
6,pcr-globwb_gswp3,min,0.00348480748860511
7,pcr-globwb_gswp3,min,0.005800042748240677
8,pcr-globwb_gswp3,min,0.010363822362421777
9,pcr-globwb_gswp3,min,0.057360728479759454
10,pcr-globwb_gswp3,min,0.06282628335662152
11,pcr-globwb_gswp3,min,0.011408463277823657
12,pcr-globwb_gswp3,min,0.006607552736898688
1,pcr-globwb_wfdei,min,0.0063795674794329795
2,pcr-globwb_wfdei,min,0.006352791826937984
3,pcr-globwb_wfdei,min,0.0027948174152625693
4,pcr-globwb_wfdei,min,0.0021829383929539005
5,pcr-globwb_wfdei,min,0.0026349847035093436
6,pcr-globwb_wfdei,min,0.003390482598470893
7,pcr-globwb_wfdei,min,0.005343459686481915
8,pcr-globwb_wfdei,min,0.010247148403211342
9,pcr-globwb_wfdei,min,0.05588975706431925
10,pcr-globwb_wfdei,min,0.06975667372168347
11,pcr-globwb_wfdei,min,0.00984273083333005
12,pcr-globwb_wfdei,min,0.006490251936939498
1,vegas_gswp3,min,6.331462424494493e-4
2,vegas_gswp3,min,3.260033926789202e-4
3,vegas_gswp3,min,2.609953549876948e-4
4,vegas_gswp3,min,2.6342242204059206e-4
5,vegas_gswp3,min,1.985853473968387e-4
6,vegas_gswp3,min,9.644375896198993e-4
7,vegas_gswp3,min,0.02476269927071319
8,vegas_gswp3,min,0.028331908431652425
9,vegas_gswp3,min,0.01581765241407949
10,vegas_gswp3,min,0.008114762502700877
11,vegas_gswp3,min,0.004967443071890157
12,vegas_gswp3,min,0.0011586212004878387
1,vegas_wfdei,min,1.5151224902278486e-4
2,vegas_wfdei,min,8.387929058170867e-5
3,vegas_wfdei,min,1.756316617143928e-5
4,vegas_wfdei,min,2.0909407520750736e-5
5,vegas_wfdei,min,9.671826175300342e-5
6,vegas_wfdei,min,7.257228648775428e-4
7,vegas_wfdei,min,0.014067313429648906
8,vegas_wfdei,min,0.02810682004357039
9,vegas_wfdei,min,0.018235529509009644
10,vegas_wfdei,min,0.010477266081330256
11,vegas_wfdei,min,0.0017606870749056831
12,vegas_wfdei,min,1.750472693929236e-4
1,vic_princeton,min,0.01860405329906392
2,vic_princeton,min,0.014861709439318542
3,vic_princeton,min,0.013307140198815584
4,vic_princeton,min,0.019673990271778522
5,vic_princeton,min,0.027367769473685973
6,vic_princeton,min,0.02486314812251313
7,vic_princeton,min,0.04203606054110011
8,vic_princeton,min,0.051124958546997
9,vic_princeton,min,0.08485133363868116
10,vic_princeton,min,0.04671889422672287
11,vic_princeton,min,0.03973908733491357
12,vic_princeton,min,0.025200546027111907
1,watergap2_princeton,min,0.004221791617647878
2,watergap2_princeton,min,0.0028015747794520986
3,watergap2_princeton,min,0.0015987325768152393
4,watergap2_princeton,min,8.071041807427984e-4
5,watergap2_princeton,min,0.0010987552614426137
6,watergap2_princeton,min,8.237667095225925e-4
7,watergap2_princeton,min,9.900943525545428e-4
8,watergap2_princeton,min,0.002389682185936719
9,watergap2_princeton,min,0.01474253160343538
10,watergap2_princeton,min,0.0160296957402758
11,watergap2_princeton,min,0.01001672550919652
12,watergap2_princeton,min,0.0063630855421481
1,watergap2_wfdei,min,0.011672343012380843
2,watergap2_wfdei,min,0.008398575511723471
3,watergap2_wfdei,min,0.005425069959203923
4,watergap2_wfdei,min,0.0038749945881400476
5,watergap2_wfdei,min,0.0033880073096409866
6,watergap2_wfdei,min,0.00363887155717185
7,watergap2_wfdei,min,0.005181339772986632
8,watergap2_wfdei,min,0.024156629569483067
9,watergap2_wfdei,min,0.07160623184785209
10,watergap2_wfdei,min,0.04040503904171154
11,watergap2_wfdei,min,0.024201904345343195
12,watergap2_wfdei,min,0.0164260557220674
1,LORA,min,0.006690578805104957
2,LORA,min,0.002677270480949307
3,LORA,min,0.0010821949690641396
4,LORA,min,0
5,LORA,min,0
6,LORA,min,0
7,LORA,min,0.017303306450559677
8,LORA,min,0.09738154970297067
9,LORA,min,0.08659171130678162
10,LORA,min,0.0563945319078029
11,LORA,min,0.03410051604422118
12,LORA,min,0.020654476581560444
1,caraib_gswp3,mean,0.003909545521053152
2,caraib_gswp3,mean,6.423889834259126e-4
3,caraib_gswp3,mean,8.647211757239533e-4
4,caraib_gswp3,mean,0.0021506408539894977
5,caraib_gswp3,mean,0.022915711202646426
6,caraib_gswp3,mean,0.09329457861137724
7,caraib_gswp3,mean,0.3271675405364475
8,caraib_gswp3,mean,0.5181102717015819
9,caraib_gswp3,mean,0.380707078909782
10,caraib_gswp3,mean,0.13614461614915144
11,caraib_gswp3,mean,0.047114427950130405
12,caraib_gswp3,mean,0.013333023261286934
1,caraib_princeton,mean,0.002368363975515868
2,caraib_princeton,mean,3.2875128621938105e-4
3,caraib_princeton,mean,3.230117785074989e-4
4,caraib_princeton,mean,0.004553032945560224
5,caraib_princeton,mean,0.019967962345399243
6,caraib_princeton,mean,0.08073857029786484
7,caraib_princeton,mean,0.21735771113761032
8,caraib_princeton,mean,0.4110929859734692
9,caraib_princeton,mean,0.36747156471444525
10,caraib_princeton,mean,0.20496913897925648
11,caraib_princeton,mean,0.07993504634677714
12,caraib_princeton,mean,0.009880370949037131
1,caraib_wfdei,mean,0.006226896985948505
2,caraib_wfdei,mean,0.001275314227316926
3,caraib_wfdei,mean,4.6855610791336777e-4
4,caraib_wfdei,mean,0.0011396420058333817
5,caraib_wfdei,mean,0.06506384372130164
6,caraib_wfdei,mean,0.16758823097533115
7,caraib_wfdei,mean,0.43968960143053076
8,caraib_wfdei,mean,0.578333203430317
9,caraib_wfdei,mean,0.4308591361989628
10,caraib_wfdei,mean,0.15535282563910116
11,caraib_wfdei,mean,0.06303749308488603
12,caraib_wfdei,mean,0.01751480396383493
1,dbh_gswp3,mean,0.06573912829572581
2,dbh_gswp3,mean,0.026452053140272408
3,dbh_gswp3,mean,0.02907008769341257
4,dbh_gswp3,mean,0.08643459255748265
5,dbh_gswp3,mean,0.2138592174110008
6,dbh_gswp3,mean,0.21002338173526539
7,dbh_gswp3,mean,0.3907423167206419
8,dbh_gswp3,mean,0.27128836240336535
9,dbh_gswp3,mean,0.19133118062934226
10,dbh_gswp3,mean,0.09039846737650137
11,dbh_gswp3,mean,0.06107306755070994
12,dbh_gswp3,mean,0.023179769383520836
1,dbh_princeton,mean,0.0616694742049441
2,dbh_princeton,mean,0.016950033455366408
3,dbh_princeton,mean,0.028810627360450227
4,dbh_princeton,mean,0.08589944182362735
5,dbh_princeton,mean,0.19613759225564917
6,dbh_princeton,mean,0.15819801214895193
7,dbh_princeton,mean,0.22927332337467451
8,dbh_princeton,mean,0.21812206359393832
9,dbh_princeton,mean,0.19721361833429565
10,dbh_princeton,mean,0.08610007972403641
11,dbh_princeton,mean,0.08925031816224827
12,dbh_princeton,mean,0.022483754788366925
1,dbh_wfdei,mean,0.07047696206243174
2,dbh_wfdei,mean,0.02510524022533659
3,dbh_wfdei,mean,0.02396315635772894
4,dbh_wfdei,mean,0.06997229858951381
5,dbh_wfdei,mean,0.2142783941694362
6,dbh_wfdei,mean,0.20687184650718082
7,dbh_wfdei,mean,0.3699793093920363
8,dbh_wfdei,mean,0.2777210429570758
9,dbh_wfdei,mean,0.27074825483390175
10,dbh_wfdei,mean,0.12610863228275185
11,dbh_wfdei,mean,0.07703868913225274
12,dbh_wfdei,mean,0.02705285032935281
1,dlem_gswp3,mean,0.010148213820385053
2,dlem_gswp3,mean,0.007252565796810464
3,dlem_gswp3,mean,0.0058344888011396335
4,dlem_gswp3,mean,0.005405535833907265
5,dlem_gswp3,mean,0.010744382730317642
6,dlem_gswp3,mean,0.011688933531173621
7,dlem_gswp3,mean,0.0593109290214731
8,dlem_gswp3,mean,0.2962913657806972
9,dlem_gswp3,mean,0.2910095437167696
10,dlem_gswp3,mean,0.11619069827008828
11,dlem_gswp3,mean,0.0505527239259937
12,dlem_gswp3,mean,0.01853906266682061
1,dlem_princeton,mean,0.010633896489844192
2,dlem_princeton,mean,0.007924272293021697
3,dlem_princeton,mean,0.005900322717004041
4,dlem_princeton,mean,0.007540799257553375
5,dlem_princeton,mean,0.0032610691905177007
6,dlem_princeton,mean,0.0028920347675525887
7,dlem_princeton,mean,0.015931295121482832
8,dlem_princeton,mean,0.10315105609849812
9,dlem_princeton,mean,0.1495065259221358
10,dlem_princeton,mean,0.11771426844010925
11,dlem_princeton,mean,0.0738028177806329
12,dlem_princeton,mean,0.020825217263649054
1,dlem_wfdei,mean,0.01123865274543405
2,dlem_wfdei,mean,0.007857025555941737
3,dlem_wfdei,mean,0.005804892214927586
4,dlem_wfdei,mean,0.003986167867253543
5,dlem_wfdei,mean,0.010727552398308903
6,dlem_wfdei,mean,0.010462234231141001
7,dlem_wfdei,mean,0.07059801297072621
8,dlem_wfdei,mean,0.29940233614539546
9,dlem_wfdei,mean,0.3202419918515895
10,dlem_wfdei,mean,0.13059378490070464
11,dlem_wfdei,mean,0.05462129512693874
12,dlem_wfdei,mean,0.020367413966207826
1,h08_gswp3,mean,0.0043981719972701885
2,h08_gswp3,mean,0.0010776847656603632
3,h08_gswp3,mean,6.522550525257581e-4
4,h08_gswp3,mean,0.0024608549200830438
5,h08_gswp3,mean,0.06728447026019102
6,h08_gswp3,mean,0.15184918170399453
7,h08_gswp3,mean,0.46174377025412167
8,h08_gswp3,mean,0.5144685044855648
9,h08_gswp3,mean,0.35382052130526154
10,h08_gswp3,mean,0.0671541187881682
11,h08_gswp3,mean,0.04001010853251474
12,h08_gswp3,mean,0.010744551954558144
1,h08_princeton,mean,0.0021227717176588055
2,h08_princeton,mean,4.5203749858252034e-4
3,h08_princeton,mean,3.4237692757913457e-4
4,h08_princeton,mean,0.0022242704651403767
5,h08_princeton,mean,0.05245629617741562
6,h08_princeton,mean,0.09744207720591888
7,h08_princeton,mean,0.2519884944322996
8,h08_princeton,mean,0.3878458736353176
9,h08_princeton,mean,0.3045096634848861
10,h08_princeton,mean,0.12118674377158513
11,h08_princeton,mean,0.0439569178602138
12,h08_princeton,mean,0.008000638894309391
1,lpjml_gswp3,mean,0.007039865426079911
2,lpjml_gswp3,mean,0.006272630944773459
3,lpjml_gswp3,mean,0.009732987717706578
4,lpjml_gswp3,mean,0.03444854899241443
5,lpjml_gswp3,mean,0.10773007638413186
6,lpjml_gswp3,mean,0.13302786535313943
7,lpjml_gswp3,mean,0.25887835448778707
8,lpjml_gswp3,mean,0.3982251796293167
9,lpjml_gswp3,mean,0.32517054577066967
10,lpjml_gswp3,mean,0.11577215126348075
11,lpjml_gswp3,mean,0.051944858450082315
12,lpjml_gswp3,mean,0.014570959834406323
1,lpjml_princeton,mean,0.0077405554932012885
2,lpjml_princeton,mean,0.004257928232896497
3,lpjml_princeton,mean,0.008359531678459934
4,lpjml_princeton,mean,0.02872242337150725
5,lpjml_princeton,mean,0.11118444528085884
6,lpjml_princeton,mean,0.10532772012671124
7,lpjml_princeton,mean,0.16931020855994602
8,lpjml_princeton,mean,0.25066903440024124
9,lpjml_princeton,mean,0.23776767185536093
10,lpjml_princeton,mean,0.1258466832560504
11,lpjml_princeton,mean,0.05555392872380748
12,lpjml_princeton,mean,0.012134790732821062
1,lpjml_wfdei,mean,0.013381049494997624
2,lpjml_wfdei,mean,0.007525180795143068
3,lpjml_wfdei,mean,0.009154593997403914
4,lpjml_wfdei,mean,0.032465779837921295
5,lpjml_wfdei,mean,0.11632669654771961
6,lpjml_wfdei,mean,0.1462296060801429
7,lpjml_wfdei,mean,0.32989414279164914
8,lpjml_wfdei,mean,0.5026359730412397
9,lpjml_wfdei,mean,0.39323048507100494
10,lpjml_wfdei,mean,0.15744408159990483
11,lpjml_wfdei,mean,0.07879685450479068
12,lpjml_wfdei,mean,0.030183523047472197
1,matsiro_gswp3,mean,0.007197548671696807
2,matsiro_gswp3,mean,0.0032248096739647247
3,matsiro_gswp3,mean,0.004078257383912162
4,matsiro_gswp3,mean,0.005105393694324608
5,matsiro_gswp3,mean,0.003684739765007866
6,matsiro_gswp3,mean,0.0037545841357723674
7,matsiro_gswp3,mean,0.02744034695226152
8,matsiro_gswp3,mean,0.2171505659872206
9,matsiro_gswp3,mean,0.2349949911997731
10,matsiro_gswp3,mean,0.07341089806226192
11,matsiro_gswp3,mean,0.029703773283632405
12,matsiro_gswp3,mean,0.014573016626469705
1,matsiro_princeton,mean,0.007495144564078978
2,matsiro_princeton,mean,0.003133816169333061
3,matsiro_princeton,mean,0.0037580094289067487
4,matsiro_princeton,mean,0.0025963773991972985
5,matsiro_princeton,mean,0.0034635160825553335
6,matsiro_princeton,mean,0.003454583261969129
7,matsiro_princeton,mean,0.010998693933028575
8,matsiro_princeton,mean,0.10103786366614612
9,matsiro_princeton,mean,0.17282743677153883
10,matsiro_princeton,mean,0.11891104226300024
11,matsiro_princeton,mean,0.06058277267622772
12,matsiro_princeton,mean,0.015272019373248787
1,matsiro_wfdei,mean,0.009371434198003632
2,matsiro_wfdei,mean,0.004936829325232956
3,matsiro_wfdei,mean,0.0035973392763906926
4,matsiro_wfdei,mean,0.004070399413785131
5,matsiro_wfdei,mean,0.014290995673032408
