Month,Prediction,Stat,Value
1,caraib_gswp3,min,0.00110059678571004
2,caraib_gswp3,min,3.1479121527360014e-4
3,caraib_gswp3,min,8.44132805982238e-5
4,caraib_gswp3,min,2.963257991833944e-5
5,caraib_gswp3,min,8.124779033163407e-5
6,caraib_gswp3,min,0.005135141339803197
7,caraib_gswp3,min,0.0809253768620432
8,caraib_gswp3,min,0.13224747139054466
9,caraib_gswp3,min,0.16519210519649682
10,caraib_gswp3,min,0.05944102584437847
11,caraib_gswp3,min,0.012647337456847199
12,caraib_gswp3,min,0.002834586427727886
1,caraib_princeton,min,6.817545206520514e-4
2,caraib_princeton,min,1.6220246372637795e-4
3,caraib_princeton,min,5.308071416720293e-5
4,caraib_princeton,min,3.1449811182513376e-5
5,caraib_princeton,min,3.0394644163403797e-4
6,caraib_princeton,min,0.001493939293543078
7,caraib_princeton,min,0.038894595502696826
8,caraib_princeton,min,0.15610595073702963
9,caraib_princeton,min,0.1540835487045169
10,caraib_princeton,min,0.06908406530984111
11,caraib_princeton,min,0.023336754884492553
12,caraib_princeton,min,0.003558254390811617
1,caraib_wfdei,min,0.0010967864678568242
2,caraib_wfdei,min,2.651104640154423e-4
3,caraib_wfdei,min,6.175652566021961e-5
4,caraib_wfdei,min,5.217209684906299e-5
5,caraib_wfdei,min,1.3429919078188443e-4
6,caraib_wfdei,min,0.011337173405025068
7,caraib_wfdei,min,0.17923168192936537
8,caraib_wfdei,min,0.2232848584151515
9,caraib_wfdei,min,0.17416100834909756
10,caraib_wfdei,min,0.04909453033326435
11,caraib_wfdei,min,0.012664923771662574
12,caraib_wfdei,min,0.002647587452726521
1,dbh_gswp3,min,0.07847790603829294
2,dbh_gswp3,min,0.044985617192868345
3,dbh_gswp3,min,0.037760307547915255
4,dbh_gswp3,min,0.05202827156690274
5,dbh_gswp3,min,0.05785923126728334
6,dbh_gswp3,min,0.06647528243368264
7,dbh_gswp3,min,0.07418533969943424
8,dbh_gswp3,min,0.05553248895813942
9,dbh_gswp3,min,0.05065039951243412
10,dbh_gswp3,min,0.044578072561789486
11,dbh_gswp3,min,0.040720751112688
12,dbh_gswp3,min,0.03998382133135613
1,dbh_princeton,min,0.08309512686742096
2,dbh_princeton,min,0.040341110469440104
3,dbh_princeton,min,0.03767440290625476
4,dbh_princeton,min,0.04101845120015958
5,dbh_princeton,min,0.038807181884092615
6,dbh_princeton,min,0.05581294458140758
7,dbh_princeton,min,0.08055002489010898
8,dbh_princeton,min,0.059299478972807323
9,dbh_princeton,min,0.05218750489134731
10,dbh_princeton,min,0.048643366945313744
11,dbh_princeton,min,0.04273186171589653
12,dbh_princeton,min,0.038445583356476035
1,dbh_wfdei,min,0.08609313601610818
2,dbh_wfdei,min,0.04906656764381316
3,dbh_wfdei,min,0.04490107650061921
4,dbh_wfdei,min,0.04971041392063334
5,dbh_wfdei,min,0.051236134638257255
6,dbh_wfdei,min,0.08298421533553997
7,dbh_wfdei,min,0.07624140193159751
8,dbh_wfdei,min,0.07016423727683815
9,dbh_wfdei,min,0.06899553636045241
10,dbh_wfdei,min,0.04816461724888875
11,dbh_wfdei,min,0.04599772290468363
12,dbh_wfdei,min,0.04801563253673007
1,dlem_gswp3,min,0.00997642236870554
2,dlem_gswp3,min,0.007671148450644651
3,dlem_gswp3,min,0.0049272581843290125
4,dlem_gswp3,min,0.0032224686058050854
5,dlem_gswp3,min,0.0024522891045347466
6,dlem_gswp3,min,0.0024871595934731054
7,dlem_gswp3,min,0.004065413513282972
8,dlem_gswp3,min,0.03350138759656116
9,dlem_gswp3,min,0.09510676289725571
10,dlem_gswp3,min,0.07539158893455203
11,dlem_gswp3,min,0.020855230214932532
12,dlem_gswp3,min,0.013732818467439107
1,dlem_princeton,min,0.010960172608169536
2,dlem_princeton,min,0.008251821424981563
3,dlem_princeton,min,0.005896833277394722
4,dlem_princeton,min,0.003392380661392641
5,dlem_princeton,min,0.0029172320503913873
6,dlem_princeton,min,0.002771322914666461
7,dlem_princeton,min,0.0029966121796144865
8,dlem_princeton,min,0.005789103287004614
9,dlem_princeton,min,0.014811637707393365
10,dlem_princeton,min,0.0853680121665167
11,dlem_princeton,min,0.02870926528994033
12,dlem_princeton,min,0.01594980169562874
1,dlem_wfdei,min,0.009613540174775862
2,dlem_wfdei,min,0.007529904583025016
3,dlem_wfdei,min,0.004717467226197162
4,dlem_wfdei,min,0.003193173260085673
5,dlem_wfdei,min,0.0025713597299989563
6,dlem_wfdei,min,0.002522313878847532
7,dlem_wfdei,min,0.0045700463079363825
8,dlem_wfdei,min,0.04348631220435058
9,dlem_wfdei,min,0.09446226054350347
10,dlem_wfdei,min,0.06535846684351246
11,dlem_wfdei,min,0.019621902267703575
12,dlem_wfdei,min,0.012893652908393467
1,h08_gswp3,min,0.0012898687219773032
2,h08_gswp3,min,2.405298349628529e-4
3,h08_gswp3,min,2.0959270527931603e-5
4,h08_gswp3,min,5.8672721287965495e-5
5,h08_gswp3,min,2.441491567355218e-4
6,h08_gswp3,min,0.02422112069111983
7,h08_gswp3,min,0.08730697502541883
8,h08_gswp3,min,0.10231686882256769
9,h08_gswp3,min,0.055895762208450966
10,h08_gswp3,min,0.035374618452945046
11,h08_gswp3,min,0.012834957330971427
12,h08_gswp3,min,0.0032752959635365584
1,h08_princeton,min,3.905082123236342e-4
2,h08_princeton,min,8.506906752916094e-5
3,h08_princeton,min,1.61538661299617e-5
4,h08_princeton,min,1.1015365781476121e-4
5,h08_princeton,min,0.0019406701696289249
6,h08_princeton,min,0.005538939426296412
7,h08_princeton,min,0.09728147146302517
8,h08_princeton,min,0.05018150478213579
9,h08_princeton,min,0.04773306365513341
10,h08_princeton,min,0.032457286048680825
11,h08_princeton,min,0.01244201904422185
12,h08_princeton,min,0.0017727226759862488
1,lpjml_gswp3,min,4.889959887019905e-4
2,lpjml_gswp3,min,4.932944256345023e-4
3,lpjml_gswp3,min,4.982255235954021e-4
4,lpjml_gswp3,min,0.002705435093876844
5,lpjml_gswp3,min,0.007826915789717939
6,lpjml_gswp3,min,0.07701899121753396
7,lpjml_gswp3,min,0.08950695291218161
8,lpjml_gswp3,min,0.1014343624760873
9,lpjml_gswp3,min,0.11188545391535232
10,lpjml_gswp3,min,0.027456774716740844
11,lpjml_gswp3,min,4.8291886030411423e-4
12,lpjml_gswp3,min,4.29057668844562e-4
1,lpjml_princeton,min,2.9600122049806664e-4
2,lpjml_princeton,min,3.113427918300646e-4
3,lpjml_princeton,min,3.5463264697666816e-4
4,lpjml_princeton,min,0.002123765918514164
5,lpjml_princeton,min,0.008928646790005738
6,lpjml_princeton,min,0.04253625410512461
7,lpjml_princeton,min,0.1420641916851029
8,lpjml_princeton,min,0.09860132559848181
9,lpjml_princeton,min,0.07165920179849493
10,lpjml_princeton,min,0.04368004136327495
11,lpjml_princeton,min,0.002525511822261706
12,lpjml_princeton,min,4.874707177423687e-4
1,lpjml_wfdei,min,0.0023078986574186443
2,lpjml_wfdei,min,0.001746738252718487
3,lpjml_wfdei,min,0.001475031544828055
4,lpjml_wfdei,min,0.0021944495753511415
5,lpjml_wfdei,min,0.008408489143318177
6,lpjml_wfdei,min,0.08479920727857689
7,lpjml_wfdei,min,0.09567571281272787
8,lpjml_wfdei,min,0.15033635494801442
9,lpjml_wfdei,min,0.1663066072522224
10,lpjml_wfdei,min,0.06246839961532959
11,lpjml_wfdei,min,0.012470878659899879
12,lpjml_wfdei,min,0.003709944988685436
1,matsiro_gswp3,min,0.027479017451255517
2,matsiro_gswp3,min,0.024516840462167566
3,matsiro_gswp3,min,0.021193351547491242
4,matsiro_gswp3,min,0.021770065615498716
5,matsiro_gswp3,min,0.021273467173485532
6,matsiro_gswp3,min,0.017564170492400052
7,matsiro_gswp3,min,0.0190196288236381
8,matsiro_gswp3,min,0.021111825356093048
9,matsiro_gswp3,min,0.0322522792725982
