Month,Prediction,Stat,Value
1,caraib_gswp3,min,0.0037430027622154718
2,caraib_gswp3,min,0.001168893290148326
3,caraib_gswp3,min,3.916697534854243e-4
4,caraib_gswp3,min,2.3008460036764785e-4
5,caraib_gswp3,min,3.406621946604831e-4
6,caraib_gswp3,min,0.006112348522744225
7,caraib_gswp3,min,0.013540863470320562
8,caraib_gswp3,min,0.01022353519120474
9,caraib_gswp3,min,0.026470125519121427
10,caraib_gswp3,min,0.02763216984119962
11,caraib_gswp3,min,0.03426193220464299
12,caraib_gswp3,min,0.009789298344044831
1,caraib_princeton,min,0.0023167475771393524
2,caraib_princeton,min,5.854252138333576e-4
3,caraib_princeton,min,2.4146037775626584e-4
4,caraib_princeton,min,3.434755516974944e-4
5,caraib_princeton,min,0.002239685625100855
6,caraib_princeton,min,0.0030543391634918924
7,caraib_princeton,min,0.23130779487956804
8,caraib_princeton,min,0.7012626233128174
9,caraib_princeton,min,0.719243689614118
10,caraib_princeton,min,0.21797487704541094
11,caraib_princeton,min,0.03606004171688998
12,caraib_princeton,min,0.009545880153274023
1,caraib_wfdei,min,0.003305096169625891
2,caraib_wfdei,min,0.0010772752966908476
3,caraib_wfdei,min,4.615147046335152e-4
4,caraib_wfdei,min,2.314301183387039e-4
5,caraib_wfdei,min,5.182713267730518e-4
6,caraib_wfdei,min,0.019644649403839143
7,caraib_wfdei,min,0.053808726533885756
8,caraib_wfdei,min,0.021100262552352637
9,caraib_wfdei,min,0.06288489458340792
10,caraib_wfdei,min,0.08948957173076091
11,caraib_wfdei,min,0.030506695981945282
12,caraib_wfdei,min,0.007498237408755492
1,dbh_gswp3,min,0.22092796609064536
2,dbh_gswp3,min,0.05499507790950572
3,dbh_gswp3,min,0.026478229671625098
4,dbh_gswp3,min,0.034686071735319395
5,dbh_gswp3,min,0.04734408785386226
6,dbh_gswp3,min,0.041514044484380314
7,dbh_gswp3,min,0.04708899889090402
8,dbh_gswp3,min,0.038803914292533194
9,dbh_gswp3,min,0.03689540168916604
10,dbh_gswp3,min,0.04397727452795727
11,dbh_gswp3,min,0.05793674296381364
12,dbh_gswp3,min,0.027261208970272763
1,dbh_princeton,min,0.21802416124467752
2,dbh_princeton,min,0.06053689157413957
3,dbh_princeton,min,0.04734677182524045
4,dbh_princeton,min,0.0494522627092435
5,dbh_princeton,min,0.0537429350099818
6,dbh_princeton,min,0.05301176716687156
7,dbh_princeton,min,0.1329873736858974
8,dbh_princeton,min,0.12982851590343275
9,dbh_princeton,min,0.4365098646923111
10,dbh_princeton,min,0.06557153191974206
11,dbh_princeton,min,0.06987832245933408
12,dbh_princeton,min,0.05716279009508282
1,dbh_wfdei,min,0.20494459589803665
2,dbh_wfdei,min,0.062142180259402255
3,dbh_wfdei,min,0.027288203597838876
4,dbh_wfdei,min,0.035913140217672605
5,dbh_wfdei,min,0.04748945462582176
6,dbh_wfdei,min,0.036764056416003714
7,dbh_wfdei,min,0.04605347229615356
8,dbh_wfdei,min,0.045072255592042254
9,dbh_wfdei,min,0.031163973552617116
10,dbh_wfdei,min,0.04177040878407396
11,dbh_wfdei,min,0.04338226509325937
12,dbh_wfdei,min,0.026816271363400028
1,dlem_gswp3,min,0.002046831473639706
2,dlem_gswp3,min,0.0020172530732913215
3,dlem_gswp3,min,0.001999505988049214
4,dlem_gswp3,min,0.0027874769780964694
5,dlem_gswp3,min,0.0030406686975284827
6,dlem_gswp3,min,0.0028730573869453326
7,dlem_gswp3,min,0.0030643315529064203
8,dlem_gswp3,min,0.002804040819245257
9,dlem_gswp3,min,0.002445155117535635
10,dlem_gswp3,min,0.002697558307792613
11,dlem_gswp3,min,0.0026529933498108944
12,dlem_gswp3,min,0.002105988499501858
1,dlem_princeton,min,0.02780377828768089
2,dlem_princeton,min,0.014932911530247847
3,dlem_princeton,min,0.011511948631457172
4,dlem_princeton,min,0.008949267541041502
5,dlem_princeton,min,0.008956367455932188
6,dlem_princeton,min,0.0076411097985902045
7,dlem_princeton,min,0.008991861626416403
8,dlem_princeton,min,0.013523285259116512
9,dlem_princeton,min,0.023522391807381884
10,dlem_princeton,min,0.038854304504166354
11,dlem_princeton,min,0.0507491973082909
12,dlem_princeton,min,0.03760017654661641
1,dlem_wfdei,min,0.002200639695848225
2,dlem_wfdei,min,0.00216134270719235
3,dlem_wfdei,min,0.0021178200397735185
4,dlem_wfdei,min,0.0032276048271999607
5,dlem_wfdei,min,0.0031708140643590637
6,dlem_wfdei,min,0.0032031532174816046
7,dlem_wfdei,min,0.0033956106275360126
8,dlem_wfdei,min,0.0031234885787685728
9,dlem_wfdei,min,0.0026774447343638663
10,dlem_wfdei,min,0.0029815116716663303
11,dlem_wfdei,min,0.002799702782955647
12,dlem_wfdei,min,0.002271628036816654
1,h08_gswp3,min,0.0021773008534579728
2,h08_gswp3,min,5.094079728856274e-4
3,h08_gswp3,min,4.8429066874566865e-5
4,h08_gswp3,min,7.740321832373725e-4
5,h08_gswp3,min,0.0022759208148640645
6,h08_gswp3,min,0.061982193949385464
7,h08_gswp3,min,1.2056034554813047
