Month,Prediction,Stat,Value
1,caraib_gswp3,min,3.596006612154905e-4
2,caraib_gswp3,min,9.852472776565043e-5
3,caraib_gswp3,min,2.6088102676592233e-5
4,caraib_gswp3,min,1.1479934169330356e-5
5,caraib_gswp3,min,1.7200411706788085e-5
6,caraib_gswp3,min,0.0017366079697275828
7,caraib_gswp3,min,0.026244027234412708
8,caraib_gswp3,min,0.03565796302178407
9,caraib_gswp3,min,0.0475764355974851
10,caraib_gswp3,min,0.018652456779065237
11,caraib_gswp3,min,0.0036603254949466946
12,caraib_gswp3,min,9.803747720091027e-4
1,caraib_princeton,min,2.9333278334032044e-4
2,caraib_princeton,min,6.43090746712708e-5
3,caraib_princeton,min,1.9714692232747172e-5
4,caraib_princeton,min,1.5465751189394246e-5
5,caraib_princeton,min,5.286811511161804e-5
6,caraib_princeton,min,5.643489038531208e-4
7,caraib_princeton,min,0.007986252597529038
8,caraib_princeton,min,0.049583963032666774
9,caraib_princeton,min,0.04046238447269604
10,caraib_princeton,min,0.027140591235389692
11,caraib_princeton,min,0.006830463603888838
12,caraib_princeton,min,0.0014286573465439704
1,caraib_wfdei,min,4.991529858310748e-4
2,caraib_wfdei,min,1.327306444953088e-4
3,caraib_wfdei,min,3.5804142568309736e-5
4,caraib_wfdei,min,1.5621676536528488e-5
5,caraib_wfdei,min,2.859263786835543e-5
6,caraib_wfdei,min,0.0043454182732647045
7,caraib_wfdei,min,0.061648608481604354
8,caraib_wfdei,min,0.08302000148222698
9,caraib_wfdei,min,0.05090932130772815
10,caraib_wfdei,min,0.01668391168524829
11,caraib_wfdei,min,0.004316182378310729
12,caraib_wfdei,min,0.0010719803035261963
1,dbh_gswp3,min,0.02674873799375365
2,dbh_gswp3,min,0.013672874260974391
3,dbh_gswp3,min,0.01126671065216685
4,dbh_gswp3,min,0.012161481332262294
5,dbh_gswp3,min,0.01926914561706161
6,dbh_gswp3,min,0.013959906634182591
7,dbh_gswp3,min,0.01659487824027884
8,dbh_gswp3,min,0.014290915552234822
9,dbh_gswp3,min,0.013568195756048024
10,dbh_gswp3,min,0.012919688675471048
11,dbh_gswp3,min,0.012451907467650918
12,dbh_gswp3,min,0.012089608429684859
1,dbh_princeton,min,0.02778557367121231
2,dbh_princeton,min,0.012432745799588916
3,dbh_princeton,min,0.010825984250091542
4,dbh_princeton,min,0.015573501631750966
5,dbh_princeton,min,0.011246632806087266
6,dbh_princeton,min,0.015754164359406356
7,dbh_princeton,min,0.016050182854599054
8,dbh_princeton,min,0.015495991593752053
9,dbh_princeton,min,0.011503037508900615
10,dbh_princeton,min,0.014084204896179746
11,dbh_princeton,min,0.013007859902782347
12,dbh_princeton,min,0.01180432804601906
1,dbh_wfdei,min,0.02664297109689662
2,dbh_wfdei,min,0.014536719914651736
3,dbh_wfdei,min,0.01220756807158793
4,dbh_wfdei,min,0.012673634028833786
5,dbh_wfdei,min,0.015440800478888274
6,dbh_wfdei,min,0.013969458765894744
7,dbh_wfdei,min,0.024568486892309564
8,dbh_wfdei,min,0.017448323321698926
9,dbh_wfdei,min,0.01542618066576056
10,dbh_wfdei,min,0.014244424684259824
11,dbh_wfdei,min,0.013422499341304338
12,dbh_wfdei,min,0.013718296254595542
1,dlem_gswp3,min,0.003006921224728104
2,dlem_gswp3,min,0.002311579135373155
3,dlem_gswp3,min,0.0012696937154482166
4,dlem_gswp3,min,9.506520857274887e-4
5,dlem_gswp3,min,7.691685435088822e-4
6,dlem_gswp3,min,6.73053877700985e-4
7,dlem_gswp3,min,8.945354645924971e-4
8,dlem_gswp3,min,0.0019153806496869233
9,dlem_gswp3,min,0.002659098488295525
10,dlem_gswp3,min,0.015697259142061055
11,dlem_gswp3,min,0.006246446615435566
12,dlem_gswp3,min,0.004207804718531412
1,dlem_princeton,min,0.0017343996133155244
2,dlem_princeton,min,0.001212665795689845
3,dlem_princeton,min,9.011337689163488e-4
4,dlem_princeton,min,7.977295751909763e-4
5,dlem_princeton,min,6.372033898572126e-4
6,dlem_princeton,min,8.493530635779214e-4
7,dlem_princeton,min,7.682260311137563e-4
8,dlem_princeton,min,0.0010990815352717516
9,dlem_princeton,min,0.0016928620480154831
10,dlem_princeton,min,0.009806899234700385
11,dlem_princeton,min,0.00231526652227538
12,dlem_princeton,min,0.002447011600897293
1,dlem_wfdei,min,0.003006921224728104
2,dlem_wfdei,min,0.002310535375548298
3,dlem_wfdei,min,0.0012668658194838537
4,dlem_wfdei,min,9.087689445085344e-4
5,dlem_wfdei,min,8.021598498607488e-4
6,dlem_wfdei,min,6.506512155506208e-4
7,dlem_wfdei,min,8.606015740897076e-4
8,dlem_wfdei,min,0.0016165735807066837
9,dlem_wfdei,min,0.007821451345314666
10,dlem_wfdei,min,0.013552825090259287
11,dlem_wfdei,min,0.006192874885401109
12,dlem_wfdei,min,0.004200263471277652
1,h08_gswp3,min,2.0877788675315178e-4
2,h08_gswp3,min,2.814257429699718e-5
3,h08_gswp3,min,2.1208776864911517e-6
4,h08_gswp3,min,8.160185851263449e-6
5,h08_gswp3,min,3.6028036800367694e-4
6,h08_gswp3,min,0.007262645899689885
7,h08_gswp3,min,0.024097897449613485
8,h08_gswp3,min,0.027655981553527078
9,h08_gswp3,min,0.015714748038980677
10,h08_gswp3,min,0.01072548021041823
11,h08_gswp3,min,0.002803276550372227
12,h08_gswp3,min,6.215841619872607e-4
1,h08_princeton,min,8.769406919942312e-5
2,h08_princeton,min,1.0178286252004948e-5
3,h08_princeton,min,2.642094418388597e-6
4,h08_princeton,min,2.4941200620485963e-5
5,h08_princeton,min,5.603071509468359e-4
6,h08_princeton,min,0.002217536274695404
7,h08_princeton,min,0.011100152243992687
8,h08_princeton,min,0.01664085705888561
9,h08_princeton,min,0.013619407581426912
10,h08_princeton,min,0.01004524903086646
11,h08_princeton,min,0.0029317030668890944
12,h08_princeton,min,6.849748835433473e-4
1,lpjml_gswp3,min,1.6123531199876802e-4
2,lpjml_gswp3,min,3.550183718895268e-4
3,lpjml_gswp3,min,3.2690247729484493e-4
4,lpjml_gswp3,min,4.256610930811968e-4
5,lpjml_gswp3,min,0.0025459585397731776
6,lpjml_gswp3,min,0.018921798191029134
7,lpjml_gswp3,min,0.03247361755203603
8,lpjml_gswp3,min,0.028900047973058313
9,lpjml_gswp3,min,0.037565767120365044
10,lpjml_gswp3,min,0.006816448261596035
11,lpjml_gswp3,min,6.166923540304347e-4
12,lpjml_gswp3,min,1.662009746097762e-4
1,lpjml_princeton,min,1.2492352407428265e-4
2,lpjml_princeton,min,1.091268799959601e-4
3,lpjml_princeton,min,1.278671980172931e-4
4,lpjml_princeton,min,6.998424694385036e-4
5,lpjml_princeton,min,0.002159101223755577
6,lpjml_princeton,min,0.023034575272323166
7,lpjml_princeton,min,0.044028342196715635
8,lpjml_princeton,min,0.03624602761124109
9,lpjml_princeton,min,0.01791615734178573
10,lpjml_princeton,min,0.01444787705307943
11,lpjml_princeton,min,2.853873536203521e-4
12,lpjml_princeton,min,1.4921009880004303e-4
1,lpjml_wfdei,min,7.389554063539765e-4
2,lpjml_wfdei,min,5.557384234665272e-4
3,lpjml_wfdei,min,4.7080345436098145e-4
4,lpjml_wfdei,min,5.553942467856576e-4
5,lpjml_wfdei,min,0.001906055409805252
6,lpjml_wfdei,min,0.021420129538024177
7,lpjml_wfdei,min,0.03358275551876208
8,lpjml_wfdei,min,0.0321037502866365
9,lpjml_wfdei,min,0.05541850152224179
10,lpjml_wfdei,min,0.017681924606235015
11,lpjml_wfdei,min,0.0030482872936730358
12,lpjml_wfdei,min,0.0011526208316859111
1,matsiro_gswp3,min,0.009616784259402426
2,matsiro_gswp3,min,0.008825794275699824
