Month,Prediction,Stat,Value
1,caraib_gswp3,min,2.8520701058398675e-5
2,caraib_gswp3,min,6.385143629400765e-6
3,caraib_gswp3,min,2.0787124482647464e-6
4,caraib_gswp3,min,9.931790829887003e-7
5,caraib_gswp3,min,7.0578855469629796e-6
6,caraib_gswp3,min,6.700860031552992e-5
7,caraib_gswp3,min,2.514224268953014e-4
8,caraib_gswp3,min,7.282132620848593e-4
9,caraib_gswp3,min,0.0011327433191176735
10,caraib_gswp3,min,0.0078840591387609
11,caraib_gswp3,min,0.0010716656114659001
12,caraib_gswp3,min,1.7028033450987133e-4
1,caraib_princeton,min,7.721775632922119e-5
2,caraib_princeton,min,1.1607743370181284e-5
3,caraib_princeton,min,3.0745471104376488e-6
4,caraib_princeton,min,1.7317193849131067e-6
5,caraib_princeton,min,1.1713965688884255e-5
6,caraib_princeton,min,0.0021952620317035165
7,caraib_princeton,min,0.018208281430540745
8,caraib_princeton,min,0.2179033525779978
9,caraib_princeton,min,0.1318632533002251
10,caraib_princeton,min,0.04611820812815001
11,caraib_princeton,min,0.003844659194304349
12,caraib_princeton,min,4.245943738732631e-4
1,caraib_wfdei,min,5.030808641605337e-5
2,caraib_wfdei,min,1.039208747354445e-5
3,caraib_wfdei,min,3.154213849464876e-6
4,caraib_wfdei,min,2.1356593617065276e-6
5,caraib_wfdei,min,1.1669706106536317e-5
6,caraib_wfdei,min,8.400417809732606e-5
7,caraib_wfdei,min,2.1846399491982772e-4
8,caraib_wfdei,min,4.6855862076604934e-4
9,caraib_wfdei,min,0.0012823398655779244
10,caraib_wfdei,min,0.004774104829210706
11,caraib_wfdei,min,0.0014850475849683023
12,caraib_wfdei,min,2.659099684667019e-4
1,dbh_gswp3,min,0.055186199675080656
2,dbh_gswp3,min,0.009956074684149725
3,dbh_gswp3,min,0.0071403310837090915
4,dbh_gswp3,min,0.007184141647536067
5,dbh_gswp3,min,0.022704722809202764
6,dbh_gswp3,min,0.013589833893003824
7,dbh_gswp3,min,0.012948464028295704
8,dbh_gswp3,min,0.016396253637706856
9,dbh_gswp3,min,0.019794955045496793
10,dbh_gswp3,min,0.01677684666783844
11,dbh_gswp3,min,0.0113361304740756
12,dbh_gswp3,min,0.009435425678415687
1,dbh_princeton,min,0.05887032282609309
2,dbh_princeton,min,0.014079444513844198
3,dbh_princeton,min,0.010476201401012637
4,dbh_princeton,min,0.011191525110386057
5,dbh_princeton,min,0.009735509747484475
6,dbh_princeton,min,0.04371489371508685
7,dbh_princeton,min,0.0437041072767035
8,dbh_princeton,min,0.22836990336684101
9,dbh_princeton,min,0.05607932928729911
10,dbh_princeton,min,0.12753359153289925
11,dbh_princeton,min,0.03817040019998774
12,dbh_princeton,min,0.019950235611337575
1,dbh_wfdei,min,0.05712043437342709
2,dbh_wfdei,min,0.009004592977853835
3,dbh_wfdei,min,0.00590229789120823
4,dbh_wfdei,min,0.006697454019404555
5,dbh_wfdei,min,0.014635636102839685
6,dbh_wfdei,min,0.007243715167584165
7,dbh_wfdei,min,0.005649105108176294
8,dbh_wfdei,min,0.012958761201064352
9,dbh_wfdei,min,0.012112105739012308
10,dbh_wfdei,min,0.01425256545944425
11,dbh_wfdei,min,0.008925081666747867
12,dbh_wfdei,min,0.007812089296579424
1,dlem_gswp3,min,6.392911919349476e-4
2,dlem_gswp3,min,5.971949587692991e-4
3,dlem_gswp3,min,5.622337043127222e-4
4,dlem_gswp3,min,6.488043882512432e-4
5,dlem_gswp3,min,0.0010103084010550996
6,dlem_gswp3,min,6.694482143585873e-4
7,dlem_gswp3,min,6.136053446226836e-4
8,dlem_gswp3,min,8.305077414420841e-4
9,dlem_gswp3,min,0.0011088657666667194
10,dlem_gswp3,min,8.676094243339027e-4
11,dlem_gswp3,min,7.638197192764706e-4
12,dlem_gswp3,min,6.792468880362214e-4
1,dlem_princeton,min,0.00987476534363551
2,dlem_princeton,min,0.00757078836198754
3,dlem_princeton,min,0.00466054654074546
4,dlem_princeton,min,0.0033649355626266795
5,dlem_princeton,min,0.002420173654493804
6,dlem_princeton,min,0.003137854181535259
7,dlem_princeton,min,0.003262097231515443
8,dlem_princeton,min,0.0060960974785527295
9,dlem_princeton,min,0.01751771994927686
10,dlem_princeton,min,0.07288775661666279
11,dlem_princeton,min,0.021501968882945133
12,dlem_princeton,min,0.01402159645894355
1,dlem_wfdei,min,7.24910556241839e-4
2,dlem_wfdei,min,7.267451936678844e-4
3,dlem_wfdei,min,6.278751934116934e-4
4,dlem_wfdei,min,7.048375219134727e-4
5,dlem_wfdei,min,9.87476512637724e-4
6,dlem_wfdei,min,7.136848216449108e-4
7,dlem_wfdei,min,6.44999109724725e-4
8,dlem_wfdei,min,8.647555197535807e-4
9,dlem_wfdei,min,0.0011855426178071602
10,dlem_wfdei,min,9.646447328494818e-4
11,dlem_wfdei,min,8.670386325549251e-4
12,dlem_wfdei,min,7.762821422372339e-4
1,h08_gswp3,min,2.5770762705474903e-4
2,h08_gswp3,min,2.4392490184973842e-5
3,h08_gswp3,min,5.591318100302357e-7
4,h08_gswp3,min,8.656615546154202e-5
5,h08_gswp3,min,0.001640517274129516
6,h08_gswp3,min,0.002641776216636796
7,h08_gswp3,min,0.004126481402578104
8,h08_gswp3,min,0.006792093023562278
9,h08_gswp3,min,0.006731529240338394
10,h08_gswp3,min,0.01771677371052289
11,h08_gswp3,min,0.004217583876684175
12,h08_gswp3,min,9.235491369418131e-4
1,h08_princeton,min,2.1794181467783589e-4
2,h08_princeton,min,2.421896193443987e-5
3,h08_princeton,min,7.89082764181406e-7
4,h08_princeton,min,9.100292908438312e-5
5,h08_princeton,min,0.0010648050299466086
6,h08_princeton,min,0.014610799137886698
7,h08_princeton,min,0.03793326193376971
8,h08_princeton,min,0.09011396637707472
9,h08_princeton,min,0.030192283874705086
10,h08_princeton,min,0.01785188575702746
11,h08_princeton,min,0.0031589968869355817
12,h08_princeton,min,7.223887852354485e-4
1,lpjml_gswp3,min,0.0016411539494776155
2,lpjml_gswp3,min,0.001398914459177221
3,lpjml_gswp3,min,0.0022304361449460687
4,lpjml_gswp3,min,0.0025348658138485665
5,lpjml_gswp3,min,0.014405185915077858
6,lpjml_gswp3,min,0.016756003778844997
7,lpjml_gswp3,min,0.017354320876557458
8,lpjml_gswp3,min,0.021568740169341138
9,lpjml_gswp3,min,0.03289989890526082
10,lpjml_gswp3,min,0.01770773055246478
11,lpjml_gswp3,min,8.670168524137727e-4
12,lpjml_gswp3,min,0.0011467978649652173
1,lpjml_princeton,min,0.002267808260064315
2,lpjml_princeton,min,0.001904771001363726
3,lpjml_princeton,min,0.00199995554102702
4,lpjml_princeton,min,0.0036065521734788566
5,lpjml_princeton,min,0.008878568410093607
6,lpjml_princeton,min,0.10342365964078253
7,lpjml_princeton,min,0.10195278294346313
8,lpjml_princeton,min,0.13476753398916855
9,lpjml_princeton,min,0.04313279798853649
10,lpjml_princeton,min,0.050824849486129677
11,lpjml_princeton,min,0.003784107143026821
12,lpjml_princeton,min,0.001036924276688939
1,lpjml_wfdei,min,0.0016826772182816276
2,lpjml_wfdei,min,0.001568258043937917
3,lpjml_wfdei,min,0.0028455911927791236
4,lpjml_wfdei,min,0.002890064828833499
5,lpjml_wfdei,min,0.011391814636648291
6,lpjml_wfdei,min,0.012142424564529443
7,lpjml_wfdei,min,0.017452718014198013
8,lpjml_wfdei,min,0.0315870576085933
9,lpjml_wfdei,min,0.03618678704297689
10,lpjml_wfdei,min,0.023781774578966706
11,lpjml_wfdei,min,9.857161775386027e-4
12,lpjml_wfdei,min,8.18605084403306e-4
1,matsiro_gswp3,min,4.2648415416291165e-5
2,matsiro_gswp3,min,4.249082849101459e-5
3,matsiro_gswp3,min,4.219089666567561e-5
4,matsiro_gswp3,min,4.196330844820722e-5
5,matsiro_gswp3,min,8.545849813966456e-5
6,matsiro_gswp3,min,1.2134421367475435e-4
7,matsiro_gswp3,min,5.4607888886251653e-5
8,matsiro_gswp3,min,1.1937236407517755e-4
9,matsiro_gswp3,min,1.6886476112138457e-4
10,matsiro_gswp3,min,1.19442715017391e-4
11,matsiro_gswp3,min,4.6073559870764446e-5
12,matsiro_gswp3,min,4.4002182222801474e-5
1,matsiro_princeton,min,9.76792837414114e-4
2,matsiro_princeton,min,7.371131926312015e-4
3,matsiro_princeton,min,6.026346712298737e-4
4,matsiro_princeton,min,5.232192253337155e-4
5,matsiro_princeton,min,6.172002085187175e-4
6,matsiro_princeton,min,0.0017922917260758692
7,matsiro_princeton,min,0.0014179725715166276
8,matsiro_princeton,min,0.0028380903511503455
9,matsiro_princeton,min,0.001549154198733547
10,matsiro_princeton,min,0.00488979789739628
11,matsiro_princeton,min,0.0027176432375912475
12,matsiro_princeton,min,0.0011080319294423531
1,matsiro_wfdei,min,8.145897035550608e-5
2,matsiro_wfdei,min,8.177601126928146e-5
3,matsiro_wfdei,min,8.628378760913355e-5
4,matsiro_wfdei,min,8.081433792341957e-5
5,matsiro_wfdei,min,1.9436684867665677e-4
6,matsiro_wfdei,min,2.0051453793245734e-4
7,matsiro_wfdei,min,1.4248432555452817e-4
8,matsiro_wfdei,min,1.7076298732611843e-4
9,matsiro_wfdei,min,2.2632042043660837e-4
10,matsiro_wfdei,min,1.9611241021369992e-4
11,matsiro_wfdei,min,9.975714043822153e-5
12,matsiro_wfdei,min,8.19618553477613e-5
1,pcr-globwb_gswp3,min,0.007813759578127346
2,pcr-globwb_gswp3,min,0.007685277384863723
3,pcr-globwb_gswp3,min,0.007432944075531526
4,pcr-globwb_gswp3,min,0.006764800605688554
5,pcr-globwb_gswp3,min,0.009466010428050236
6,pcr-globwb_gswp3,min,0.010155963586169717
7,pcr-globwb_gswp3,min,0.010359986478472472
8,pcr-globwb_gswp3,min,0.013661389206414038
9,pcr-globwb_gswp3,min,0.012478770776236207
10,pcr-globwb_gswp3,min,0.01515907731180654
11,pcr-globwb_gswp3,min,0.008158613623525143
12,pcr-globwb_gswp3,min,0.0080049624946783
1,pcr-globwb_wfdei,min,0.007758733273583674
2,pcr-globwb_wfdei,min,0.00754826302498329
3,pcr-globwb_wfdei,min,0.007327757182566355
4,pcr-globwb_wfdei,min,0.006603695345740094
5,pcr-globwb_wfdei,min,0.008539341353781555
6,pcr-globwb_wfdei,min,0.008240815460995508
7,pcr-globwb_wfdei,min,0.009255302933423536
8,pcr-globwb_wfdei,min,0.012219006365178572
9,pcr-globwb_wfdei,min,0.011943611525441985
10,pcr-globwb_wfdei,min,0.014431592353743408
11,pcr-globwb_wfdei,min,0.007899075161064001
12,pcr-globwb_wfdei,min,0.007801459284147481
1,vegas_gswp3,min,0.0016050071587479773
2,vegas_gswp3,min,0.0012254647677033307
3,vegas_gswp3,min,7.907728535262673e-4
4,vegas_gswp3,min,0.001214489624261934
5,vegas_gswp3,min,0.0016003003005823418
6,vegas_gswp3,min,0.0020327309057562243
7,vegas_gswp3,min,0.007133753259155786
8,vegas_gswp3,min,0.014157479218041948
9,vegas_gswp3,min,0.016258593545061685
10,vegas_gswp3,min,0.017891830152399802
11,vegas_gswp3,min,0.005456411073796144
12,vegas_gswp3,min,0.00200444938213001
1,vegas_wfdei,min,0.0020516265633078005
2,vegas_wfdei,min,8.163405426775953e-4
3,vegas_wfdei,min,4.633554312640975e-4
4,vegas_wfdei,min,0.0010924001141728696
5,vegas_wfdei,min,0.0024287051954068085
6,vegas_wfdei,min,0.00361279527578576
7,vegas_wfdei,min,0.0060590128443998295
8,vegas_wfdei,min,0.009447445134383317
9,vegas_wfdei,min,0.009638542059799483
