Month,Prediction,Stat,Value
1,caraib_gswp3,min,7.854718891845223e-4
2,caraib_gswp3,min,1.345029191376944e-4
3,caraib_gswp3,min,3.472392380490173e-5
4,caraib_gswp3,min,4.5329363723903595e-5
5,caraib_gswp3,min,1.5611122463451513e-4
6,caraib_gswp3,min,5.091447694722712e-4
7,caraib_gswp3,min,0.1451501939673538
8,caraib_gswp3,min,1.7123496171301857
9,caraib_gswp3,min,1.3241111080222352
10,caraib_gswp3,min,0.3294589182077745
11,caraib_gswp3,min,0.04164779243418241
12,caraib_gswp3,min,0.00409365813848352
1,caraib_princeton,min,3.7003986865425704e-4
2,caraib_princeton,min,7.84635187120813e-5
3,caraib_princeton,min,2.6022025001258777e-5
4,caraib_princeton,min,4.3174805371286375e-5
5,caraib_princeton,min,1.992232809609209e-4
6,caraib_princeton,min,8.312824041253769e-4
7,caraib_princeton,min,0.03698307314032443
8,caraib_princeton,min,0.62649493531417
9,caraib_princeton,min,1.1954652780495478
10,caraib_princeton,min,0.3014287576669157
11,caraib_princeton,min,0.028343925523434628
12,caraib_princeton,min,0.002144097807971026
1,caraib_wfdei,min,6.683309530070147e-4
2,caraib_wfdei,min,1.7939300645670588e-4
3,caraib_wfdei,min,9.760351461538593e-5
4,caraib_wfdei,min,2.004156060693399e-4
5,caraib_wfdei,min,4.1940646964630713e-4
6,caraib_wfdei,min,0.0013337333645601038
7,caraib_wfdei,min,0.461870038867425
8,caraib_wfdei,min,2.2549633193539016
9,caraib_wfdei,min,1.6657024981223088
10,caraib_wfdei,min,0.37296841819435333
11,caraib_wfdei,min,0.07218811288144471
12,caraib_wfdei,min,0.008055532489124
1,dbh_gswp3,min,0.2844613903249969
2,dbh_gswp3,min,0.11086332734670092
3,dbh_gswp3,min,0.08799035699285798
4,dbh_gswp3,min,0.13151881404377966
5,dbh_gswp3,min,0.09477405344306479
6,dbh_gswp3,min,0.22627285074909664
7,dbh_gswp3,min,0.5289113365037952
8,dbh_gswp3,min,0.3863163847692435
9,dbh_gswp3,min,0.7049631102165603
10,dbh_gswp3,min,0.17300072754429308
11,dbh_gswp3,min,0.16584259672863225
12,dbh_gswp3,min,0.11535397680112329
1,dbh_princeton,min,0.3520006605309819
2,dbh_princeton,min,0.07828679824517436
3,dbh_princeton,min,0.06928811946031034
4,dbh_princeton,min,0.0847843582324822
5,dbh_princeton,min,0.09373888806606868
6,dbh_princeton,min,0.14064587965472133
7,dbh_princeton,min,0.3379690321049383
8,dbh_princeton,min,0.2769321397037184
9,dbh_princeton,min,0.2249823164032959
10,dbh_princeton,min,0.09719500055446763
11,dbh_princeton,min,0.07884429735222212
12,dbh_princeton,min,0.07435001913247703
1,dbh_wfdei,min,0.2897024856986509
2,dbh_wfdei,min,0.12434583547866601
3,dbh_wfdei,min,0.0921862016094934
4,dbh_wfdei,min,0.10049437379231513
5,dbh_wfdei,min,0.09889955299611006
6,dbh_wfdei,min,0.25619272933732584
7,dbh_wfdei,min,0.4854862160925299
8,dbh_wfdei,min,0.6384054179499198
9,dbh_wfdei,min,0.5868954823303815
10,dbh_wfdei,min,0.31649871816838643
11,dbh_wfdei,min,0.1921359279152415
12,dbh_wfdei,min,0.12167218090375466
1,dlem_gswp3,min,0.07097698627120305
2,dlem_gswp3,min,0.05427690306300248
3,dlem_gswp3,min,0.03522546617817871
4,dlem_gswp3,min,0.023541645835476063
5,dlem_gswp3,min,0.018027507434410457
6,dlem_gswp3,min,0.01657950531259238
7,dlem_gswp3,min,0.0254732102007804
8,dlem_gswp3,min,0.07935340265348072
9,dlem_gswp3,min,0.8698282321598464
10,dlem_gswp3,min,0.7320664508251854
11,dlem_gswp3,min,0.21590991022519465
12,dlem_gswp3,min,0.10436125758653023
1,dlem_princeton,min,0.07206956499971401
2,dlem_princeton,min,0.05575535077231368
3,dlem_princeton,min,0.03579198791139811
4,dlem_princeton,min,0.023499827241555596
5,dlem_princeton,min,0.022276412732441044
6,dlem_princeton,min,0.017729408059685783
7,dlem_princeton,min,0.021365934565943174
8,dlem_princeton,min,0.04803288842050005
9,dlem_princeton,min,0.07047858243915588
10,dlem_princeton,min,0.17264726485482967
11,dlem_princeton,min,0.1583102533396254
12,dlem_princeton,min,0.10561568910586061
1,dlem_wfdei,min,0.07265631602145137
2,dlem_wfdei,min,0.05526253486920994
3,dlem_wfdei,min,0.03732968491800712
4,dlem_wfdei,min,0.02540239536918372
5,dlem_wfdei,min,0.0205970845224157
6,dlem_wfdei,min,0.018356628440019895
7,dlem_wfdei,min,0.028609312102450976
8,dlem_wfdei,min,0.2771299043333596
9,dlem_wfdei,min,1.034285207337261
10,dlem_wfdei,min,0.6827791678507062
11,dlem_wfdei,min,0.22197301643826456
12,dlem_wfdei,min,0.10713316606528948
1,h08_gswp3,min,0.0076177818676138615
2,h08_gswp3,min,0.00066644360228235275
3,h08_gswp3,min,4.6532325997224937e-5
4,h08_gswp3,min,0.0030963061980963298
5,h08_gswp3,min,0.005122373831783194
6,h08_gswp3,min,0.020598458401306974
7,h08_gswp3,min,0.24571228828331432
8,h08_gswp3,min,1.3354236884219284
9,h08_gswp3,min,0.6385212427174355
10,h08_gswp3,min,0.14455603755356572
11,h08_gswp3,min,0.04841860029855713
12,h08_gswp3,min,0.015974676693829324
1,h08_princeton,min,0.006898445371976384
2,h08_princeton,min,4.313273622640709e-4
3,h08_princeton,min,3.152156861042879e-5
4,h08_princeton,min,0.002267557075704616
5,h08_princeton,min,0.005011790443042151
6,h08_princeton,min,0.019516767508987093
7,h08_princeton,min,0.09907285888495142
8,h08_princeton,min,0.42616185448794885
9,h08_princeton,min,0.2598208539272694
10,h08_princeton,min,0.1162054983126881
11,h08_princeton,min,0.03363264767183762
12,h08_princeton,min,0.011624289954712406
1,lpjml_gswp3,min,0.05219420123809687
2,lpjml_gswp3,min,0.06034986670309497
3,lpjml_gswp3,min,0.06514625041751565
4,lpjml_gswp3,min,0.09754062042855617
