Month,Prediction,Stat,Value
1,caraib_gswp3,min,8.866346735330554e-4
2,caraib_gswp3,min,1.7618904237062127e-4
3,caraib_gswp3,min,4.6868929413516735e-5
4,caraib_gswp3,min,1.7944895678052213e-5
5,caraib_gswp3,min,9.220016208225208e-5
6,caraib_gswp3,min,0.0037642760833196637
7,caraib_gswp3,min,0.04013382687070681
8,caraib_gswp3,min,0.20712745032175214
9,caraib_gswp3,min,0.16699362345104535
10,caraib_gswp3,min,0.04560801963960612
11,caraib_gswp3,min,0.013451751620762557
12,caraib_gswp3,min,0.003985704301345629
1,caraib_princeton,min,2.695578522805689e-4
2,caraib_princeton,min,6.332226123052571e-5
3,caraib_princeton,min,2.2065917151410414e-5
4,caraib_princeton,min,1.634876901862943e-5
5,caraib_princeton,min,1.2012470071765933e-4
6,caraib_princeton,min,0.001969479165813265
7,caraib_princeton,min,0.01752356710964978
8,caraib_princeton,min,0.0417022762766301
9,caraib_princeton,min,0.1808328760950804
10,caraib_princeton,min,0.09662872231014816
11,caraib_princeton,min,0.013814648024225325
12,caraib_princeton,min,0.00202422113879128
1,caraib_wfdei,min,4.588480745964606e-4
2,caraib_wfdei,min,1.2396893196499833e-4
3,caraib_wfdei,min,2.4280198270208616e-5
4,caraib_wfdei,min,1.3067328170513817e-5
5,caraib_wfdei,min,3.043405004236206e-4
6,caraib_wfdei,min,0.004542349857773984
7,caraib_wfdei,min,0.10567036756415087
8,caraib_wfdei,min,0.2762621929345987
9,caraib_wfdei,min,0.22118197436773301
10,caraib_wfdei,min,0.04760702271878626
11,caraib_wfdei,min,0.01568140897106197
12,caraib_wfdei,min,0.003106143037084414
1,dbh_gswp3,min,0.0695943718381536
2,dbh_gswp3,min,0.019596635855220732
3,dbh_gswp3,min,0.01342829553054785
4,dbh_gswp3,min,0.013135775549753143
5,dbh_gswp3,min,0.04587324302113027
6,dbh_gswp3,min,0.030701261272279293
7,dbh_gswp3,min,0.0617137994266572
8,dbh_gswp3,min,0.15940882096055412
9,dbh_gswp3,min,0.13942457991731058
10,dbh_gswp3,min,0.05302961861083236
11,dbh_gswp3,min,0.043694330208292186
12,dbh_gswp3,min,0.020616832666251392
1,dbh_princeton,min,0.060628801271552533
2,dbh_princeton,min,0.01598332008343476
3,dbh_princeton,min,0.012544600737259184
4,dbh_princeton,min,0.012040416172221605
5,dbh_princeton,min,0.012157564379351242
6,dbh_princeton,min,0.025540218539423773
7,dbh_princeton,min,0.03529618760844985
8,dbh_princeton,min,0.03574344387297792
9,dbh_princeton,min,0.11872388828657594
10,dbh_princeton,min,0.09404945816696791
11,dbh_princeton,min,0.026414867303481113
12,dbh_princeton,min,0.017047434564767802
1,dbh_wfdei,min,0.07244073251680315
2,dbh_wfdei,min,0.021063864297230908
3,dbh_wfdei,min,0.014257950557142825
4,dbh_wfdei,min,0.01330851240812494
5,dbh_wfdei,min,0.036523860674979466
6,dbh_wfdei,min,0.04470048198785585
7,dbh_wfdei,min,0.06478705448182913
8,dbh_wfdei,min,0.17522118223261632
9,dbh_wfdei,min,0.20872537744623998
10,dbh_wfdei,min,0.06881791510822569
11,dbh_wfdei,min,0.035457920140284024
12,dbh_wfdei,min,0.019942961005575757
1,dlem_gswp3,min,0.011464339813843684
2,dlem_gswp3,min,0.008608878759136561
3,dlem_gswp3,min,0.006187291968770903
4,dlem_gswp3,min,0.003574847050151694
5,dlem_gswp3,min,0.003652882299310741
6,dlem_gswp3,min,0.004469327197557176
7,dlem_gswp3,min,0.008638412636088244
8,dlem_gswp3,min,0.06142078307818265
9,dlem_gswp3,min,0.17223509224052524
10,dlem_gswp3,min,0.09968084731926938
11,dlem_gswp3,min,0.025552625919859403
12,dlem_gswp3,min,0.016417149058754344
1,dlem_princeton,min,0.011511933141162254
2,dlem_princeton,min,0.008569357747078784
3,dlem_princeton,min,0.006187291968770903
4,dlem_princeton,min,0.0039621476695023364
5,dlem_princeton,min,0.003331618961441357
6,dlem_princeton,min,0.003430377787679677
7,dlem_princeton,min,0.004179396843033857
8,dlem_princeton,min,0.007656774898290519
9,dlem_princeton,min,0.06364334363875267
10,dlem_princeton,min,0.11868297599576584
11,dlem_princeton,min,0.061190439489753494
12,dlem_princeton,min,0.01749694984570749
1,dlem_wfdei,min,0.011250163500447065
2,dlem_wfdei,min,0.008503490299429596
3,dlem_wfdei,min,0.005996914130594442
4,dlem_wfdei,min,0.003510296833704033
5,dlem_wfdei,min,0.0036201612074438973
6,dlem_wfdei,min,0.0039037452113304615
7,dlem_wfdei,min,0.00936125531612819
8,dlem_wfdei,min,0.06087344532153211
9,dlem_wfdei,min,0.15013128149560004
10,dlem_wfdei,min,0.10659990118805028
11,dlem_wfdei,min,0.026105912842424757
