Month,Prediction,Stat,Value
1,caraib_gswp3,min,5.236004840816461e-4
2,caraib_gswp3,min,1.1450491008446927e-4
3,caraib_gswp3,min,3.6894242267977485e-5
4,caraib_gswp3,min,2.303777626153893e-5
5,caraib_gswp3,min,8.21570700804236e-5
6,caraib_gswp3,min,0.0011410257690256794
7,caraib_gswp3,min,0.005733292260438281
8,caraib_gswp3,min,0.0247758696419942
9,caraib_gswp3,min,0.06887997694628127
10,caraib_gswp3,min,0.11885014792374736
11,caraib_gswp3,min,0.011555099191031367
12,caraib_gswp3,min,0.0028203772866127776
1,caraib_princeton,min,3.3611174379004154e-4
2,caraib_princeton,min,1.0275669303984542e-4
3,caraib_princeton,min,4.7765365958735694e-5
4,caraib_princeton,min,2.8927979259079132e-5
5,caraib_princeton,min,1.2102276058519528e-4
6,caraib_princeton,min,2.7986512170256016e-4
7,caraib_princeton,min,9.269828202473604e-4
8,caraib_princeton,min,0.022031935011905125
9,caraib_princeton,min,0.028203776421076576
10,caraib_princeton,min,0.019843227690075346
11,caraib_princeton,min,0.005654434608696888
12,caraib_princeton,min,0.0012359771924117249
1,caraib_wfdei,min,0.0017421161382981721
2,caraib_wfdei,min,3.7167830294383686e-4
3,caraib_wfdei,min,1.1426351610024315e-4
4,caraib_wfdei,min,5.738925113841555e-5
5,caraib_wfdei,min,1.6922265423089633e-4
6,caraib_wfdei,min,0.0033152510441227115
7,caraib_wfdei,min,0.012053995965599222
8,caraib_wfdei,min,0.056327083021131256
9,caraib_wfdei,min,0.22764189527504744
10,caraib_wfdei,min,0.11514864991510179
11,caraib_wfdei,min,0.020712271658545306
12,caraib_wfdei,min,0.0066176272486771414
1,dbh_gswp3,min,0.2030906225582639
2,dbh_gswp3,min,0.06745220049003588
3,dbh_gswp3,min,0.05496595474497591
4,dbh_gswp3,min,0.05298810921117907
5,dbh_gswp3,min,0.07420800148864581
6,dbh_gswp3,min,0.08054355539992454
7,dbh_gswp3,min,0.089086827314229
8,dbh_gswp3,min,0.0833741004325949
9,dbh_gswp3,min,0.07104406387770974
10,dbh_gswp3,min,0.06821076494470284
11,dbh_gswp3,min,0.060269744016392415
12,dbh_gswp3,min,0.059578728328844685
