Month,Prediction,Stat,Value
1,caraib_gswp3,min,0.00360636476606287
2,caraib_gswp3,min,9.197551508570412e-4
3,caraib_gswp3,min,2.4777245387242613e-4
4,caraib_gswp3,min,1.0006671399468418e-4
5,caraib_gswp3,min,3.197676478784483e-4
6,caraib_gswp3,min,0.029351252458382472
7,caraib_gswp3,min,0.29648480546845796
8,caraib_gswp3,min,0.5927219277530117
9,caraib_gswp3,min,0.4823347929392624
10,caraib_gswp3,min,0.2209393917501014
11,caraib_gswp3,min,0.05132960177051156
12,caraib_gswp3,min,0.011179070933136552
1,caraib_princeton,min,7.71554009199867e-4
2,caraib_princeton,min,2.448827399763618e-4
3,caraib_princeton,min,8.171290161494508e-5
4,caraib_princeton,min,8.875554980131695e-5
5,caraib_princeton,min,6.274810573908594e-4
6,caraib_princeton,min,0.005064432453543419
7,caraib_princeton,min,0.17470393293758013
8,caraib_princeton,min,0.42338459997519423
9,caraib_princeton,min,0.45764837418788124
10,caraib_princeton,min,0.22201270500061554
11,caraib_princeton,min,0.05027279489617889
12,caraib_princeton,min,0.005252676998732504
1,caraib_wfdei,min,0.0031960255068076535
2,caraib_wfdei,min,4.8671065746038497e-4
3,caraib_wfdei,min,9.891083033602368e-5
4,caraib_wfdei,min,8.958117827212412e-5
5,caraib_wfdei,min,8.099459848112932e-4
6,caraib_wfdei,min,0.042421022031500624
7,caraib_wfdei,min,0.474738980763574
8,caraib_wfdei,min,0.810936765572975
9,caraib_wfdei,min,0.48390349201118094
10,caraib_wfdei,min,0.10056209616853928
11,caraib_wfdei,min,0.03313265217004517
12,caraib_wfdei,min,0.009214064419944299
1,dbh_gswp3,min,0.12695541233761776
2,dbh_gswp3,min,0.052229860694665696
3,dbh_gswp3,min,0.03530084784560645
4,dbh_gswp3,min,0.039921157134828876
5,dbh_gswp3,min,0.18901251966063617
6,dbh_gswp3,min,0.3155137878003083
7,dbh_gswp3,min,0.2378376800760238
8,dbh_gswp3,min,0.1437858173403989
9,dbh_gswp3,min,0.11335415836407133
10,dbh_gswp3,min,0.044692973461173825
11,dbh_gswp3,min,0.05679793951040519
12,dbh_gswp3,min,0.04200794923804903
1,dbh_princeton,min,0.1581564513078048
2,dbh_princeton,min,0.04282707694020564
