Month,Prediction,Stat,Value
1,caraib_gswp3,min,3.85736365226069e-4
2,caraib_gswp3,min,1.417915067176696e-4
3,caraib_gswp3,min,7.387635590305771e-5
4,caraib_gswp3,min,4.389614504215344e-5
5,caraib_gswp3,min,1.0325658177708467e-4
6,caraib_gswp3,min,7.300539874891929e-4
7,caraib_gswp3,min,9.206964935087037e-4
8,caraib_gswp3,min,0.0037838165006754392
9,caraib_gswp3,min,0.006712161593382812
10,caraib_gswp3,min,0.03350274500279297
11,caraib_gswp3,min,0.008686326600248014
12,caraib_gswp3,min,0.0018526185219162087
1,caraib_princeton,min,0.0013432064345273978
2,caraib_princeton,min,3.679301953920069e-4
3,caraib_princeton,min,1.7488780509306576e-4
4,caraib_princeton,min,7.803758933044793e-5
5,caraib_princeton,min,2.785121413325512e-4
6,caraib_princeton,min,0.006868933591653719
7,caraib_princeton,min,0.06988932236804317
8,caraib_princeton,min,0.8986322600330295
9,caraib_princeton,min,0.4374130784363053
10,caraib_princeton,min,0.12102406363239014
11,caraib_princeton,min,0.01947068956942023
12,caraib_princeton,min,0.004594772684463434
1,caraib_wfdei,min,7.739889276154866e-4
2,caraib_wfdei,min,2.618672076229903e-4
3,caraib_wfdei,min,1.0857908472982331e-4
4,caraib_wfdei,min,9.710182991214482e-5
5,caraib_wfdei,min,1.5663646876617484e-4
6,caraib_wfdei,min,9.93663093833398e-4
7,caraib_wfdei,min,9.189544834513311e-4
8,caraib_wfdei,min,0.0023419019226874928
9,caraib_wfdei,min,0.008194720994434506
10,caraib_wfdei,min,0.043218734041026566
11,caraib_wfdei,min,0.011291450892002428
12,caraib_wfdei,min,0.003307694636981454
1,dbh_gswp3,min,0.33778434563216597
2,dbh_gswp3,min,0.0628775428828578
3,dbh_gswp3,min,0.05065565019893132
4,dbh_gswp3,min,0.05433501485737539
5,dbh_gswp3,min,0.10165039506283159
6,dbh_gswp3,min,0.06875175399487066
7,dbh_gswp3,min,0.08272671695914145
8,dbh_gswp3,min,0.07313854539267041
9,dbh_gswp3,min,0.14350967792230634
10,dbh_gswp3,min,0.08296464072484219
11,dbh_gswp3,min,0.06015559079972323
12,dbh_gswp3,min,0.05607760208138919
1,dbh_princeton,min,0.36362779858309985
2,dbh_princeton,min,0.09092451831331748
3,dbh_princeton,min,0.058701603997624634
4,dbh_princeton,min,0.07333612164738285
5,dbh_princeton,min,0.06697539753447725
6,dbh_princeton,min,0.4338171221956036
7,dbh_princeton,min,0.21805929172060304
8,dbh_princeton,min,0.47814055603840416
9,dbh_princeton,min,0.08404974251266062
10,dbh_princeton,min,0.24156037727464139
11,dbh_princeton,min,0.09347069251444647
12,dbh_princeton,min,0.06244155832748643
1,dbh_wfdei,min,0.3829921640814613
2,dbh_wfdei,min,0.07287752356049261
3,dbh_wfdei,min,0.05028087095939514
4,dbh_wfdei,min,0.0474265125734235
5,dbh_wfdei,min,0.06241067919962211
6,dbh_wfdei,min,0.06286053285561999
7,dbh_wfdei,min,0.05726112717024238
8,dbh_wfdei,min,0.06748300205707905
9,dbh_wfdei,min,0.09269308801191234
10,dbh_wfdei,min,0.06322558149311365
11,dbh_wfdei,min,0.05332919438953795
12,dbh_wfdei,min,0.0528649984987779
1,dlem_gswp3,min,7.67546037774496e-4
2,dlem_gswp3,min,7.25424585518799e-4
3,dlem_gswp3,min,6.926635203141481e-4
4,dlem_gswp3,min,7.931309086692767e-4
5,dlem_gswp3,min,0.001010914319723168
6,dlem_gswp3,min,0.0011026454269926873
7,dlem_gswp3,min,8.23707914736141e-4
8,dlem_gswp3,min,0.00127300319763608
9,dlem_gswp3,min,0.0014121598562471718
10,dlem_gswp3,min,0.0014789301985873467
11,dlem_gswp3,min,8.705095382501294e-4
12,dlem_gswp3,min,8.049873187719013e-4
1,dlem_princeton,min,0.006982797169172053
2,dlem_princeton,min,0.005326689103198136
3,dlem_princeton,min,0.004118539306473927
4,dlem_princeton,min,0.0036561401140918987
5,dlem_princeton,min,0.003088904657993297
6,dlem_princeton,min,0.0061516002500574506
7,dlem_princeton,min,0.005391542325972155
8,dlem_princeton,min,0.024467872455685824
9,dlem_princeton,min,0.013096331497853105
10,dlem_princeton,min,0.1939832170823081
11,dlem_princeton,min,0.012748127575670341
12,dlem_princeton,min,0.009753450716015088
1,dlem_wfdei,min,7.488253527413302e-4
2,dlem_wfdei,min,7.461509691651637e-4
3,dlem_wfdei,min,6.926635203141481e-4
4,dlem_wfdei,min,9.285434659013058e-4
5,dlem_wfdei,min,0.0010483556007205737
6,dlem_wfdei,min,0.001083300725063011
7,dlem_wfdei,min,8.611491957335465e-4
8,dlem_wfdei,min,0.001291724060807098
9,dlem_wfdei,min,0.001663640446919406
10,dlem_wfdei,min,0.0014976507054826605
11,dlem_wfdei,min,8.705095382501294e-4
12,dlem_wfdei,min,8.049873187719013e-4
