Month,Prediction,Stat,Value
1,caraib_gswp3,min,0.005959735023186751
2,caraib_gswp3,min,0.0015199507928044028
3,caraib_gswp3,min,4.094589058267988e-4
4,caraib_gswp3,min,1.6536627289102528e-4
5,caraib_gswp3,min,5.284353009093297e-4
6,caraib_gswp3,min,0.048504712805739744
7,caraib_gswp3,min,0.4899590012693342
8,caraib_gswp3,min,0.9795086911568418
9,caraib_gswp3,min,0.797087301160578
10,caraib_gswp3,min,0.36511565424707865
11,caraib_gswp3,min,0.084825259018908
12,caraib_gswp3,min,0.01847408814378968
1,caraib_princeton,min,0.0012750394785851341
2,caraib_princeton,min,4.0468347953730415e-4
3,caraib_princeton,min,1.3503549230058995e-4
4,caraib_princeton,min,1.466738926774118e-4
5,caraib_princeton,min,0.0010369502467719506
6,caraib_princeton,min,0.008369279710686966
7,caraib_princeton,min,0.2887087733372157
8,caraib_princeton,min,0.699668556130212
9,caraib_princeton,min,0.7562915070650521
10,caraib_princeton,min,0.36688936904990016
11,caraib_princeton,min,0.08307882199706984
12,caraib_princeton,min,0.008680365161455731
1,caraib_wfdei,min,0.005281624678447101
2,caraib_wfdei,min,8.043186808836351e-4
3,caraib_wfdei,min,1.634561055147039e-4
4,caraib_wfdei,min,1.4803829346124637e-4
5,caraib_wfdei,min,0.0013384845310140763
6,caraib_wfdei,min,0.07010329434770872
7,caraib_wfdei,min,0.7845347639688344
8,caraib_wfdei,min,1.3401218559073484
9,caraib_wfdei,min,0.7996796708752922
10,caraib_wfdei,min,0.16618492177512303
11,caraib_wfdei,min,0.05475370362062826
12,caraib_wfdei,min,0.015226796508826485
1,dbh_gswp3,min,0.20980146667682525
2,dbh_gswp3,min,0.08631299112263394
3,dbh_gswp3,min,0.05833677758651319
4,dbh_gswp3,min,0.06597211701419825
5,dbh_gswp3,min,0.3123545748457521
6,dbh_gswp3,min,0.5214055408778442
7,dbh_gswp3,min,0.39304109365787165
8,dbh_gswp3,min,0.23761472480683882
9,dbh_gswp3,min,0.18732457514654974
10,dbh_gswp3,min,0.07385783094750606
11,dbh_gswp3,min,0.09386201654652682
12,dbh_gswp3,min,0.06942066667304157
1,dbh_princeton,min,0.2613630631243869
2,dbh_princeton,min,0.07077432454507507
3,dbh_princeton,min,0.056901660094810666
4,dbh_princeton,min,0.0593353059154057
5,dbh_princeton,min,0.05500062620906412
6,dbh_princeton,min,0.15624291805325613
7,dbh_princeton,min,0.28372958974939916
8,dbh_princeton,min,0.3476163388926583
9,dbh_princeton,min,0.5429968127139191
10,dbh_princeton,min,0.11963991339171746
11,dbh_princeton,min,0.0853098937252414
12,dbh_princeton,min,0.06923028480034463
1,dbh_wfdei,min,0.28768854896537543
2,dbh_wfdei,min,0.08570361321104343
3,dbh_wfdei,min,0.05969025864323095
4,dbh_wfdei,min,0.05882717084619799
5,dbh_wfdei,min,0.07506736826308895
6,dbh_wfdei,min,0.2014482128633925
7,dbh_wfdei,min,0.2073274024824632
8,dbh_wfdei,min,0.5158627986563942
9,dbh_wfdei,min,0.47986991935300793
10,dbh_wfdei,min,0.23447036982461264
11,dbh_wfdei,min,0.10513475644585901
12,dbh_wfdei,min,0.07612039187599959
1,dlem_gswp3,min,0.05030770259890651
2,dlem_gswp3,min,0.037448447093766386
3,dlem_gswp3,min,0.026024863637455434
4,dlem_gswp3,min,0.01546447045068998
5,dlem_gswp3,min,0.012801277160328329
6,dlem_gswp3,min,0.012423397714772492
7,dlem_gswp3,min,0.02019170426916164
8,dlem_gswp3,min,0.16064944505573814
9,dlem_gswp3,min,0.49464486432245186
10,dlem_gswp3,min,0.3814912600475899
11,dlem_gswp3,min,0.10368287766592998
12,dlem_gswp3,min,0.06993192815851401
1,dlem_princeton,min,0.04869764242639536
2,dlem_princeton,min,0.009029707016903551
3,dlem_princeton,min,0.025444188075699
4,dlem_princeton,min,0.015068995871952708
5,dlem_princeton,min,0.01305202438459961
6,dlem_princeton,min,0.013118889708292466
7,dlem_princeton,min,0.01472806881812232
8,dlem_princeton,min,0.02915260199853163
9,dlem_princeton,min,0.07852241990331577
10,dlem_princeton,min,0.22724248119940904
11,dlem_princeton,min,0.18869654947788234
12,dlem_princeton,min,0.07170035457598282
1,dlem_wfdei,min,0.048169756282713125
2,dlem_wfdei,min,0.03627955720815498
3,dlem_wfdei,min,0.024256441238516536
4,dlem_wfdei,min,0.014428050398707142
5,dlem_wfdei,min,0.013711885078099834
6,dlem_wfdei,min,0.012041560017261942
7,dlem_wfdei,min,0.0180933525281051
8,dlem_wfdei,min,0.10615823582692087
