Month,Prediction,Stat,Value
1,caraib_gswp3,min,4.7309317509920895e-4
2,caraib_gswp3,min,1.7855033201041656e-4
3,caraib_gswp3,min,7.075400264502837e-5
4,caraib_gswp3,min,4.1292475310018595e-5
5,caraib_gswp3,min,6.153687079161688e-5
6,caraib_gswp3,min,3.418956237535594e-4
7,caraib_gswp3,min,6.530191739380355e-4
8,caraib_gswp3,min,0.0010933129278804128
9,caraib_gswp3,min,0.0012040923927291128
10,caraib_gswp3,min,0.0012540516965087176
11,caraib_gswp3,min,0.0015849417190716435
12,caraib_gswp3,min,0.0011541330889495078
1,caraib_princeton,min,4.2993990015192045e-4
2,caraib_princeton,min,9.398147529920476e-5
3,caraib_princeton,min,3.46022682549523e-5
4,caraib_princeton,min,4.5600563943669294e-5
5,caraib_princeton,min,2.2698915841962955e-4
6,caraib_princeton,min,0.0012909781847916177
7,caraib_princeton,min,0.06323113917193827
8,caraib_princeton,min,0.2749935627991772
9,caraib_princeton,min,0.3668028781027082
10,caraib_princeton,min,0.12156772307564075
11,caraib_princeton,min,0.021569400278587038
12,caraib_princeton,min,0.0022148639780881583
1,caraib_wfdei,min,8.442403284106213e-4
2,caraib_wfdei,min,2.3126101942747031e-4
3,caraib_wfdei,min,8.674098985062772e-5
4,caraib_wfdei,min,3.742605716339209e-5
5,caraib_wfdei,min,1.1997480931298616e-4
6,caraib_wfdei,min,0.001428547399984476
7,caraib_wfdei,min,0.004444208743811164
8,caraib_wfdei,min,0.005975570962194491
9,caraib_wfdei,min,0.0081455438055499
10,caraib_wfdei,min,0.01149788826002718
11,caraib_wfdei,min,0.013061832517152268
12,caraib_wfdei,min,0.002967874264817652
1,dbh_gswp3,min,0.18345616770666087
2,dbh_gswp3,min,0.07851769877783471
3,dbh_gswp3,min,0.05839849057700187
4,dbh_gswp3,min,0.08007075232257467
5,dbh_gswp3,min,0.08210477145794327
6,dbh_gswp3,min,0.08086995617258386
7,dbh_gswp3,min,0.08904052814455397
8,dbh_gswp3,min,0.0735107945197227
9,dbh_gswp3,min,0.07037396653683761
10,dbh_gswp3,min,0.06958917843300493
11,dbh_gswp3,min,0.07295541297072493
12,dbh_gswp3,min,0.06282394978762955
1,dbh_princeton,min,0.19081084256514994
2,dbh_princeton,min,0.07967907052793985
3,dbh_princeton,min,0.06984748045539779
4,dbh_princeton,min,0.08141702094494134
5,dbh_princeton,min,0.07726031304017765
