Month,Prediction,Stat,Value
1,caraib_gswp3,min,6.776629439809446e-4
2,caraib_gswp3,min,1.235840720790515e-4
3,caraib_gswp3,min,3.684977961377406e-5
4,caraib_gswp3,min,2.783203732085317e-5
5,caraib_gswp3,min,7.988901504539114e-5
6,caraib_gswp3,min,0.002941014211895555
7,caraib_gswp3,min,0.018312167552221457
8,caraib_gswp3,min,0.1292201699810458
9,caraib_gswp3,min,0.2872356521925244
10,caraib_gswp3,min,0.1438740050592857
11,caraib_gswp3,min,0.023241184503998133
12,caraib_gswp3,min,0.0038930012170537045
1,caraib_princeton,min,3.1767050639091e-4
2,caraib_princeton,min,7.657909203511022e-5
3,caraib_princeton,min,3.038364901151602e-5
4,caraib_princeton,min,2.6387148346999225e-5
5,caraib_princeton,min,1.6744311619770386e-4
6,caraib_princeton,min,0.0018394148668506047
7,caraib_princeton,min,0.028795294121646595
8,caraib_princeton,min,0.18178951775131316
9,caraib_princeton,min,0.47466122785559556
10,caraib_princeton,min,0.09500398050977535
11,caraib_princeton,min,0.015022741235760601
12,caraib_princeton,min,0.0019695572433718967
1,caraib_wfdei,min,8.630390992578194e-4
2,caraib_wfdei,min,2.823168738730485e-4
3,caraib_wfdei,min,1.6703321627527663e-4
4,caraib_wfdei,min,1.323968732529396e-4
5,caraib_wfdei,min,2.4050731757695792e-4
6,caraib_wfdei,min,0.005354285197480489
7,caraib_wfdei,min,0.07226492246758462
8,caraib_wfdei,min,0.48921262756619854
9,caraib_wfdei,min,0.770094824170306
10,caraib_wfdei,min,0.18127714775274206
11,caraib_wfdei,min,0.041912016186042136
12,caraib_wfdei,min,0.010245386878015622
1,dbh_gswp3,min,0.2420839771618732
2,dbh_gswp3,min,0.10390860190715177
3,dbh_gswp3,min,0.09244931366880481
4,dbh_gswp3,min,0.10299135566527634
5,dbh_gswp3,min,0.11939064836146608
6,dbh_gswp3,min,0.13747579662374668
7,dbh_gswp3,min,0.11445387934010262
8,dbh_gswp3,min,0.14373581087503828
9,dbh_gswp3,min,0.16897798607996625
10,dbh_gswp3,min,0.10515388277594868
11,dbh_gswp3,min,0.10354230945111526
