Month,Prediction,Stat,Value
1,caraib_gswp3,min,0.9261032437127964
2,caraib_gswp3,min,0.2214363120823175
3,caraib_gswp3,min,0.062062626579487884
4,caraib_gswp3,min,0.02741130797566844
5,caraib_gswp3,min,1.176553130861126
6,caraib_gswp3,min,6.871016800847427
7,caraib_gswp3,min,74.92703171840135
8,caraib_gswp3,min,126.73088882284746
9,caraib_gswp3,min,114.17490792575606
10,caraib_gswp3,min,69.78794613474133
11,caraib_gswp3,min,17.754725878980956
12,caraib_gswp3,min,3.7555670052827095
1,caraib_princeton,min,0.5576105372104262
2,caraib_princeton,min,0.11559176308310257
3,caraib_princeton,min,0.03729889660410404
4,caraib_princeton,min,0.044103055237416346
5,caraib_princeton,min,0.48760654990568364
6,caraib_princeton,min,9.069223693249892
7,caraib_princeton,min,162.0711684149449
8,caraib_princeton,min,232.29255970132306
9,caraib_princeton,min,147.63182463249163
10,caraib_princeton,min,113.46499825041586
11,caraib_princeton,min,18.30781939087982
12,caraib_princeton,min,2.6162773746314243
1,caraib_wfdei,min,0.8502150794838038
2,caraib_wfdei,min,0.2055205329767493
3,caraib_wfdei,min,0.05671391896765819
4,caraib_wfdei,min,0.035636391861661364
5,caraib_wfdei,min,0.6263484006104886
6,caraib_wfdei,min,7.383083374050228
7,caraib_wfdei,min,118.0213428263847
8,caraib_wfdei,min,162.00100907274333
9,caraib_wfdei,min,166.23596692108777
10,caraib_wfdei,min,48.155904122519914
11,caraib_wfdei,min,15.828340509371147
12,caraib_wfdei,min,4.497217398186868
1,dbh_gswp3,min,59.16615777194819
2,dbh_gswp3,min,20.566009273051137
3,dbh_gswp3,min,15.793364505344211
4,dbh_gswp3,min,18.01499274332282
5,dbh_gswp3,min,65.68815808711703
6,dbh_gswp3,min,71.55843336200778
7,dbh_gswp3,min,61.938253167425245
8,dbh_gswp3,min,62.88607221432686
9,dbh_gswp3,min,78.15526688217814
10,dbh_gswp3,min,29.605489166092188
11,dbh_gswp3,min,24.447428936937726
12,dbh_gswp3,min,17.526514975212592
1,dbh_princeton,min,54.64286444281535
2,dbh_princeton,min,18.914780347098358
3,dbh_princeton,min,16.24700138708527
4,dbh_princeton,min,18.808821112241972
5,dbh_princeton,min,22.56072261872483
6,dbh_princeton,min,93.72870856133338
7,dbh_princeton,min,94.69488295706654
8,dbh_princeton,min,157.1258643518565
9,dbh_princeton,min,104.34561380645258
10,dbh_princeton,min,96.70805656297698
11,dbh_princeton,min,28.33557798907
12,dbh_princeton,min,20.106672668036737
1,dbh_wfdei,min,64.19050473958188
2,dbh_wfdei,min,22.99282967578901
3,dbh_wfdei,min,17.077672005609784
4,dbh_wfdei,min,19.879436993130362
5,dbh_wfdei,min,51.61152699317246
6,dbh_wfdei,min,64.45394463202433
7,dbh_wfdei,min,61.94076277224518
8,dbh_wfdei,min,79.17187355075338
9,dbh_wfdei,min,108.1137167721744
10,dbh_wfdei,min,40.64837616538414
11,dbh_wfdei,min,30.97656506041383
12,dbh_wfdei,min,20.147111445598544
1,dlem_gswp3,min,4.674757268604887
2,dlem_gswp3,min,3.3849225611836866
3,dlem_gswp3,min,2.3938086978830393
4,dlem_gswp3,min,2.1403219849574096
5,dlem_gswp3,min,3.3181322765167294
6,dlem_gswp3,min,2.5999675906474664
7,dlem_gswp3,min,5.420240347233212
8,dlem_gswp3,min,36.16071774490808
9,dlem_gswp3,min,53.034342095771386
10,dlem_gswp3,min,30.423634479807
11,dlem_gswp3,min,11.895811147621371
12,dlem_gswp3,min,6.77575596851622
1,dlem_princeton,min,8.146655931855598
2,dlem_princeton,min,6.054106634267874
3,dlem_princeton,min,4.347373187711316
4,dlem_princeton,min,2.723997526677123
5,dlem_princeton,min,2.4416896573484728
6,dlem_princeton,min,2.7019206023259614
7,dlem_princeton,min,17.901678915209345
8,dlem_princeton,min,71.64859793915102
9,dlem_princeton,min,69.78211452619976
10,dlem_princeton,min,82.38335380370327
11,dlem_princeton,min,38.43078710216884
12,dlem_princeton,min,13.345378012248355
1,dlem_wfdei,min,4.810823599121783
2,dlem_wfdei,min,3.4534300735448964
3,dlem_wfdei,min,2.4004478401336944
4,dlem_wfdei,min,1.799440777086618
5,dlem_wfdei,min,1.8395864219384048
6,dlem_wfdei,min,1.6884718377446974
7,dlem_wfdei,min,6.047112741934294
8,dlem_wfdei,min,35.752215345460236
9,dlem_wfdei,min,64.14469551328372
10,dlem_wfdei,min,32.296752539530324
11,dlem_wfdei,min,11.947074343629273
12,dlem_wfdei,min,6.876023732880337
1,h08_gswp3,min,1.0698674992701707
2,h08_gswp3,min,0.2622595977591781
3,h08_gswp3,min,0.04652376623578723
4,h08_gswp3,min,0.1682059090693186
5,h08_gswp3,min,2.24516503446809
6,h08_gswp3,min,16.445606315431046
7,h08_gswp3,min,114.4610043102027
8,h08_gswp3,min,167.4517448336228
9,h08_gswp3,min,80.54615458100942
10,h08_gswp3,min,39.418388811023036
11,h08_gswp3,min,15.479549047178047
12,h08_gswp3,min,4.169534799287018
1,h08_princeton,min,0.40351901152765585
2,h08_princeton,min,0.1090854317152646
3,h08_princeton,min,0.038187127169356246
4,h08_princeton,min,0.22016853267072117
5,h08_princeton,min,1.8315315668371275
6,h08_princeton,min,20.156797279100843
7,h08_princeton,min,150.1901045002499
8,h08_princeton,min,113.92717730261847
9,h08_princeton,min,81.58243912851646
10,h08_princeton,min,52.037672677776285
11,h08_princeton,min,10.94769426558528
12,h08_princeton,min,2.4803963592215226
1,lpjml_gswp3,min,1.9773412108094681
2,lpjml_gswp3,min,1.775833913950331
3,lpjml_gswp3,min,1.7347677287650707
4,lpjml_gswp3,min,2.428173675421375
5,lpjml_gswp3,min,20.572882275623694
6,lpjml_gswp3,min,66.94861866770155
7,lpjml_gswp3,min,92.43942691529159
8,lpjml_gswp3,min,117.79062483088835
9,lpjml_gswp3,min,118.07209795337192
10,lpjml_gswp3,min,45.39585827052624
11,lpjml_gswp3,min,15.855980412682884
12,lpjml_gswp3,min,2.942798856559671
1,lpjml_princeton,min,1.918313628779637
2,lpjml_princeton,min,1.9860181168006021
3,lpjml_princeton,min,1.901982426275556
4,lpjml_princeton,min,3.4541165431217022
5,lpjml_princeton,min,13.03998964879197
6,lpjml_princeton,min,86.77921817016814
7,lpjml_princeton,min,130.35337453789674
8,lpjml_princeton,min,153.94888088919237
9,lpjml_princeton,min,78.85197476307826
10,lpjml_princeton,min,82.37959195635635
11,lpjml_princeton,min,8.764215027175359
12,lpjml_princeton,min,2.3818711524975837
1,lpjml_wfdei,min,2.5937354085510145
2,lpjml_wfdei,min,2.1055830987546136
3,lpjml_wfdei,min,2.417179302693091
4,lpjml_wfdei,min,2.756250659497069
5,lpjml_wfdei,min,18.40615487890762
6,lpjml_wfdei,min,71.03956490775168
7,lpjml_wfdei,min,101.86702754050708
8,lpjml_wfdei,min,146.27285447284785
9,lpjml_wfdei,min,154.8965474313621
10,lpjml_wfdei,min,59.98480971081383
11,lpjml_wfdei,min,22.38972426707381
12,lpjml_wfdei,min,5.075515929429209
1,matsiro_gswp3,min,5.153721183820228
2,matsiro_gswp3,min,3.8694579477428768
3,matsiro_gswp3,min,3.3454445262274186
4,matsiro_gswp3,min,4.065497127200913
5,matsiro_gswp3,min,7.41648798176601
6,matsiro_gswp3,min,6.425540628301351
7,matsiro_gswp3,min,14.530588602638188
8,matsiro_gswp3,min,37.19936793471261
9,matsiro_gswp3,min,30.603754049201218
10,matsiro_gswp3,min,14.906761757977769
11,matsiro_gswp3,min,10.485401115433206
12,matsiro_gswp3,min,6.032250610918507
1,matsiro_princeton,min,8.275102824153322
