Month,Prediction,Stat,Value
1,caraib_gswp3,min,2.1593739593383162e-4
2,caraib_gswp3,min,7.937568631415808e-5
3,caraib_gswp3,min,4.135640129609723e-5
4,caraib_gswp3,min,2.457330992472313e-5
5,caraib_gswp3,min,5.780361768303797e-5
6,caraib_gswp3,min,4.086883456195131e-4
7,caraib_gswp3,min,5.154110972585146e-4
8,caraib_gswp3,min,0.0021182018484787084
9,caraib_gswp3,min,0.003757505970982816
10,caraib_gswp3,min,0.018755025879653258
11,caraib_gswp3,min,0.00486265469212122
12,caraib_gswp3,min,0.001037106312356401
1,caraib_princeton,min,7.5193454862215e-4
2,caraib_princeton,min,2.059694014895706e-4
3,caraib_princeton,min,9.790318107614056e-5
4,caraib_princeton,min,4.368588327184207e-5
5,caraib_princeton,min,1.5591266978434704e-4
6,caraib_princeton,min,0.0038452678210798962
7,caraib_princeton,min,0.03912443740400392
8,caraib_princeton,min,0.50305941473768
9,caraib_princeton,min,0.24486631186452937
10,caraib_princeton,min,0.06774995437827726
11,caraib_princeton,min,0.010899801993500184
12,caraib_princeton,min,0.002572179700530555
1,caraib_wfdei,min,4.332833732514567e-4
2,caraib_wfdei,min,1.4659474188136767e-4
3,caraib_wfdei,min,6.0783184898047445e-5
4,caraib_wfdei,min,5.435815282634734e-5
5,caraib_wfdei,min,8.76859799148459e-5
6,caraib_wfdei,min,5.562582122434472e-4
7,caraib_wfdei,min,5.144359101893383e-4
8,caraib_wfdei,min,0.0013110099236331842
9,caraib_wfdei,min,0.004587451097345738
10,caraib_wfdei,min,0.024194091420202464
11,caraib_wfdei,min,0.006321017984666181
12,caraib_wfdei,min,0.0018516661399955682
1,dbh_gswp3,min,0.18909358452702552
2,dbh_gswp3,min,0.03519920364491611
3,dbh_gswp3,min,0.028357319089896017
4,dbh_gswp3,min,0.030417048207138423
5,dbh_gswp3,min,0.056904465288484626
6,dbh_gswp3,min,0.03848762020359402
7,dbh_gswp3,min,0.04631088340307946
8,dbh_gswp3,min,0.04094337080514968
9,dbh_gswp3,min,0.08033752825892859
10,dbh_gswp3,min,0.04644407447093763
11,dbh_gswp3,min,0.03367543949490067
12,dbh_gswp3,min,0.031392558377460515
1,dbh_princeton,min,0.20356089545554668
2,dbh_princeton,min,0.05090005890320669
3,dbh_princeton,min,0.03286148947081279
4,dbh_princeton,min,0.04105397510846954
5,dbh_princeton,min,0.03749320582401437
6,dbh_princeton,min,0.24285327525063882
7,dbh_princeton,min,0.12207082312741327
8,dbh_princeton,min,0.2676657838593371
9,dbh_princeton,min,0.04705152058052942
10,dbh_princeton,min,0.13522686355721059
11,dbh_princeton,min,0.052325421602063125
12,dbh_princeton,min,0.03495513702833179
