Month,Prediction,Stat,Value
1,caraib_gswp3,min,0.0010635946706793907
2,caraib_gswp3,min,2.1055546043828252e-4
3,caraib_gswp3,min,6.873920845092344e-5
4,caraib_gswp3,min,3.541309273507126e-5
5,caraib_gswp3,min,2.427889321300603e-4
6,caraib_gswp3,min,0.0025961587826335043
7,caraib_gswp3,min,0.017930542236035508
8,caraib_gswp3,min,0.0978804322296857
9,caraib_gswp3,min,0.20246980206259466
10,caraib_gswp3,min,0.24901708099453573
11,caraib_gswp3,min,0.04364081667589543
12,caraib_gswp3,min,0.006134189844365012
1,caraib_princeton,min,0.0010100544378117693
2,caraib_princeton,min,1.9667868993999014e-4
3,caraib_princeton,min,6.553771083092829e-5
4,caraib_princeton,min,3.581737727802098e-5
5,caraib_princeton,min,2.3524958685361384e-4
6,caraib_princeton,min,0.01752625761766015
7,caraib_princeton,min,0.5531041980887266
8,caraib_princeton,min,1.310098681367843
9,caraib_princeton,min,0.9463523284628621
10,caraib_princeton,min,0.4729030067767028
11,caraib_princeton,min,0.045443704149508345
12,caraib_princeton,min,0.005745203153719782
1,caraib_wfdei,min,0.004142271651572981
2,caraib_wfdei,min,8.640750616499733e-4
3,caraib_wfdei,min,2.2465077671215758e-4
4,caraib_wfdei,min,1.0709155330349499e-4
5,caraib_wfdei,min,5.5190228959939e-4
6,caraib_wfdei,min,0.002692312789271594
7,caraib_wfdei,min,0.07961116091169737
8,caraib_wfdei,min,0.21536316861445304
9,caraib_wfdei,min,0.4641617107725645
10,caraib_wfdei,min,0.31490443549954755
11,caraib_wfdei,min,0.07361246487237176
12,caraib_wfdei,min,0.019296366518521707
1,dbh_gswp3,min,0.22704754953998577
2,dbh_gswp3,min,0.055600073553809956
3,dbh_gswp3,min,0.04083547545592981
4,dbh_gswp3,min,0.045065103669283166
5,dbh_gswp3,min,0.17360538769692557
6,dbh_gswp3,min,0.08702645897737618
7,dbh_gswp3,min,0.1072017565916281
8,dbh_gswp3,min,0.13138819507337554
9,dbh_gswp3,min,0.11905464683201104
10,dbh_gswp3,min,0.05477910152687872
11,dbh_gswp3,min,0.05804823115101054
12,dbh_gswp3,min,0.044506112426012025
1,dbh_princeton,min,0.22024734490782644
2,dbh_princeton,min,0.05781764995837052
3,dbh_princeton,min,0.04650132681959347
4,dbh_princeton,min,0.04523256386384305
5,dbh_princeton,min,0.05763928663637638
6,dbh_princeton,min,0.1713681998228891
7,dbh_princeton,min,0.19334703819731505
8,dbh_princeton,min,0.9715006300338407
9,dbh_princeton,min,0.41639120907268945
10,dbh_princeton,min,0.26574649474286155
11,dbh_princeton,min,0.0758269003523822
12,dbh_princeton,min,0.05840338089640295
1,dbh_wfdei,min,0.22988403611629987
